,Bowler,Country,No. of Matches Bowled In,Total Wickets,Total Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
307,BAA Zammitt,Gibraltar,1,0,5,10,0,12,0,5,0
308,BAD Manenti,Italy,5,1,108,154,154,8.555555556,108,21.6,0.2
309,BAW Mendis,Sri Lanka,34,54,765,776,14.37037037,6.08627451,14.16666667,22.5,1.588235294
310,BB Sran,India,2,6,48,41,6.833333333,5.125,8,24,3
311,BC Fortuin,South Africa,15,14,270,334,23.85714286,7.422222222,19.28571429,18,0.933333333
312,BCJ Cutting,ICC World XI/Australia,7,3,126,215,71.66666667,10.23809524,42,18,0.428571429
313,BD Glover,Netherlands,21,35,419,454,12.97142857,6.501193317,11.97142857,19.95238095,1.666666667
314,BDH Stevens,Jersey,9,9,140,160,17.77777778,6.857142857,15.55555556,15.55555556,1
315,BE Hendricks,South Africa,18,24,385,577,24.04166667,8.992207792,16.04166667,21.38888889,1.333333333
316,BE Johnson,Guernsey,1,0,12,32,0,16,0,12,0
317,BFW de Leede,Netherlands,21,24,325,427,17.79166667,7.883076923,13.54166667,15.47619048,1.142857143
318,BG Lister,New Zealand,9,8,185,263,32.875,8.52972973,23.125,20.55555556,0.888888889
319,BJ Currie,Scotland,6,12,120,96,8,4.8,10,20,2
320,BJ Diamanti,New Zealand,1,0,12,19,0,9.5,0,12,0
321,BJ Dwarshuis,Australia,1,0,18,42,0,14,0,18,0
322,BJ Hodge,Australia,2,0,18,30,0,10,0,9,0
323,BJ McCarthy,Ireland,41,42,880,1271,30.26190476,8.665909091,20.95238095,21.46341463,1.024390244
324,BJ McMullen,Scotland,4,1,36,57,57,9.5,36,9,0.25
325,BK Stroud,St Helena,3,2,48,53,26.5,6.625,24,16,0.666666667
326,BM Scholtz,Namibia,38,43,760,737,17.13953488,5.818421053,17.6744186,20,1.131578947
327,BM Tickner,New Zealand,18,19,341,536,28.21052632,9.431085044,17.94736842,18.94444444,1.055555556
328,BM Wheeler,New Zealand,6,7,128,216,30.85714286,10.125,18.28571429,21.33333333,1.166666667
329,BMAJ Mendis,Sri Lanka,13,11,198,236,21.45454545,7.151515152,18,15.23076923,0.846153846
330,BN Toube,Cameroon,8,8,156,231,28.875,8.884615385,19.5,19.5,1
331,BP Adapaka,Hungary,10,9,199,239,26.55555556,7.206030151,22.11111111,19.9,0.9
332,BRM Taylor,Zimbabwe,2,1,30,17,17,3.4,30,15,0.5
333,BS Stephenson,Belize,3,5,60,91,18.2,9.1,12,20,1.666666667
334,BTJ Wheal,Scotland,17,17,356,487,28.64705882,8.207865169,20.94117647,20.94117647,1
335,BV Sears,New Zealand,6,6,114,136,22.66666667,7.157894737,19,19,1
336,BV Vitori,Zimbabwe,11,4,238,323,80.75,8.142857143,59.5,21.63636364,0.363636364
337,BW Hilfenhaus,Australia,7,9,156,161,17.88888889,6.192307692,17.33333333,22.28571429,1.285714286
338,Bakhtiar Tahiri,Bulgaria,5,2,72,122,61,10.16666667,36,14.4,0.4
339,Baljinder Singh,Romania,1,1,18,29,29,9.666666667,18,18,1
340,Baljit Singh,Italy,7,5,120,116,23.2,5.8,24,17.14285714,0.714285714
341,Bashar Khan,Italy,4,4,75,51,12.75,4.08,18.75,18.75,1
342,Bashir Shah,Denmark,8,11,168,158,14.36363636,5.642857143,15.27272727,21,1.375
343,Basil Hameed,United Arab Emirates,18,17,240,282,16.58823529,7.05,14.11764706,13.33333333,0.944444444
344,Basir Ahamad,Nepal,1,1,24,30,30,7.5,24,24,1
345,Baz Aybui,Sweden,8,7,120,140,20,7,17.14285714,15,0.875
346,Bhumeshswar Jagroo,Bahamas,2,0,12,17,0,8.5,0,6,0
347,Bilal Aftab,Denmark,1,1,12,13,13,6.5,12,12,1
348,Bilal Hassun,Uganda,21,30,420,487,16.23333333,6.957142857,14,20,1.428571429
349,Bilal Khan,Oman,48,65,1032,1120,17.23076923,6.511627907,15.87692308,21.5,1.354166667
350,Bilal Muhammad,Malta,22,28,504,572,20.42857143,6.80952381,18,22.90909091,1.272727273
351,Bilal Safdar,Norway,3,3,66,59,19.66666667,5.363636364,22,22,1
352,Bilal Tahir,Kuwait,1,1,24,22,22,5.5,24,24,1
353,Bilal Zalmai,Austria,3,5,72,71,14.2,5.916666667,14.4,24,1.666666667
354,Bilawal Bhatti,Pakistan,7,2,132,202,101,9.181818182,66,18.85714286,0.285714286
355,C Bah,Sierra Leone,6,2,84,68,34,4.857142857,42,14,0.333333333
356,C Campher,Ireland,33,23,547,730,31.73913043,8.007312614,23.7826087,16.57575758,0.696969697
357,C Chatphaisan,Thailand,6,5,78,68,13.6,5.230769231,15.6,13,0.833333333
358,C Dickson,Cook Islands,5,4,114,162,40.5,8.526315789,28.5,22.8,0.8
359,C Floyd,Netherlands,4,2,66,102,51,9.272727273,33,16.5,0.5
360,C Green,Australia,7,5,120,178,35.6,8.9,24,17.14285714,0.714285714
361,C Karunaratne,Sri Lanka,37,23,641,889,38.65217391,8.321372855,27.86956522,17.32432432,0.621621622
362,C Kyewuta,Uganda,17,19,360,393,20.68421053,6.55,18.94736842,21.17647059,1.117647059
363,C Liebenberg,Isle of Man,1,0,12,14,0,7,0,12,0
364,C Munro,New Zealand,12,3,118,186,62,9.457627119,39.33333333,9.833333333,0.25
365,C Olphert,Ireland,2,0,30,65,0,13,0,15,0
366,C Pengkumta,Thailand,9,6,123,135,22.5,6.585365854,20.5,13.66666667,0.666666667
367,C Pervez,Canada,2,3,24,19,6.333333333,4.75,8,12,1.5
368,C Rububagumya,Rwanda,27,22,425,513,23.31818182,7.242352941,19.31818182,15.74074074,0.814814815
369,C Rumistrzewicz,Spain,14,19,314,250,13.15789474,4.777070064,16.52631579,22.42857143,1.357142857
370,C Sakariya,India,1,1,22,34,34,9.272727273,22,22,1
371,C Smith,Isle of Man,4,3,72,75,25,6.25,24,18,0.75
372,C Udekwe,Nigeria,4,2,78,65,32.5,5,39,19.5,0.5
373,C Viljoen,Namibia,12,19,223,236,12.42105263,6.349775785,11.73684211,18.58333333,1.583333333
374,C Waiswa,Uganda,6,10,114,145,14.5,7.631578947,11.4,19,1.666666667
375,C Wright,Cayman Islands,8,7,132,158,22.57142857,7.181818182,18.85714286,16.5,0.875
376,C Zavoiu,Romania,6,2,41,68,34,9.951219512,20.5,6.833333333,0.333333333
377,C de Grandhomme,New Zealand,20,11,309,452,41.09090909,8.776699029,28.09090909,15.45,0.55
378,CA Liyanage,Maldives,1,0,6,14,0,14,0,6,0
379,CA Soper,Papua New Guinea,16,19,302,361,19,7.17218543,15.89473684,18.875,1.1875
380,CA Young,Ireland,48,54,956,1285,23.7962963,8.064853556,17.7037037,19.91666667,1.125
381,CAH Stevenson,United States of America,4,3,72,98,32.66666667,8.166666667,24,18,0.75
382,CAJ Meschede,Germany,4,5,96,83,16.6,5.1875,19.2,24,1.25
383,CAK Rajitha,Sri Lanka,18,17,396,615,36.17647059,9.318181818,23.29411765,22,0.944444444
384,CB Mpofu,Zimbabwe,27,25,592,923,36.92,9.35472973,23.68,21.92592593,0.925925926
385,CB Roposo,Mozambique,6,9,101,94,10.44444444,5.584158416,11.22222222,16.83333333,1.5
386,CB Sole,Scotland,7,5,156,250,50,9.615384615,31.2,22.28571429,0.714285714
387,CBRLS Kumara,Sri Lanka,25,33,544,756,22.90909091,8.338235294,16.48484848,21.76,1.32
388,CC Blake,Vanuatu,3,1,48,49,49,6.125,48,16,0.333333333
389,CD Barnwell,West Indies,4,1,36,51,51,8.5,36,9,0.25
390,CD de Lange,Scotland,7,7,162,171,24.42857143,6.333333333,23.14285714,23.14285714,1
391,CE McConchie,New Zealand,8,7,133,159,22.71428571,7.172932331,19,16.625,0.875
392,CG Osborne,Croatia,2,3,24,32,10.66666667,8,8,12,1.5
393,CG Williams,Namibia,13,9,174,181,20.11111111,6.24137931,19.33333333,13.38461538,0.692307692
394,CH Gayle,West Indies,26,14,315,366,26.14285714,6.971428571,22.5,12.11538462,0.538461538
395,CH Morris,South Africa,23,32,498,697,21.78125,8.397590361,15.5625,21.65217391,1.391304348
396,CJ Anderson,New Zealand,19,12,324,454,37.83333333,8.407407407,27,17.05263158,0.631578947
397,CJ Boyce,Australia,7,8,138,152,19,6.608695652,17.25,19.71428571,1.142857143
398,CJ Chibhabha,Zimbabwe,21,13,312,441,33.92307692,8.480769231,24,14.85714286,0.619047619
399,CJ Dala,South Africa,10,12,192,307,25.58333333,9.59375,16,19.2,1.2
400,CJ Delany,Gibraltar,4,1,50,95,95,11.4,50,12.5,0.25
401,CJ Gannon,United States of America,2,3,48,59,19.66666667,7.375,16,24,1.5
402,CJ Jordan,England,81,89,1702,2471,27.76404494,8.71092832,19.12359551,21.01234568,1.098765432
403,CJ Langford,Isle of Man,9,11,165,152,13.81818182,5.527272727,15,18.33333333,1.222222222
404,CJ McKay,Australia,6,4,136,183,45.75,8.073529412,34,22.66666667,0.666666667
405,CJA Amini,Papua New Guinea,35,28,615,672,24,6.556097561,21.96428571,17.57142857,0.8
406,CJPF Kalugamage,Italy,7,1,101,129,129,7.663366337,101,14.42857143,0.142857143
407,CK Jasmat,Samoa,5,3,102,91,30.33333333,5.352941176,34,20.4,0.6
408,CK Langeveldt,South Africa,9,17,198,241,14.17647059,7.303030303,11.64705882,22,1.888888889
409,CK Tshuma,Zimbabwe,1,0,6,10,0,10,0,6,0
410,CL Cairns,New Zealand,1,1,24,28,28,7,24,24,1
411,CL White,Australia,5,1,42,51,51,7.285714286,42,8.4,0.2
412,CM Akachukwu,Nigeria,15,10,206,258,25.8,7.514563107,20.6,13.73333333,0.666666667
413,CM Wright,Scotland,2,3,30,49,16.33333333,9.8,10,15,1.5
414,CN Ackermann,Netherlands,14,7,210,218,31.14285714,6.228571429,30,15,0.5
415,CN Greaves,Scotland,16,11,258,327,29.72727273,7.604651163,23.45454545,16.125,0.6875
416,CO Obuya,Kenya,23,23,356,398,17.30434783,6.707865169,15.47826087,15.47826087,1
417,CP Schofield,England,4,3,77,92,30.66666667,7.168831169,25.66666667,19.25,0.75
418,CPPM Sadun,Cyprus,6,7,81,79,11.28571429,5.851851852,11.57142857,13.5,1.166666667
419,CR Brathwaite,West Indies,38,29,703,992,34.20689655,8.466571835,24.24137931,18.5,0.763157895
420,CR Suryawanshi,Singapore,1,1,12,13,13,6.5,12,12,1
421,CR Woakes,England,27,22,507,690,31.36363636,8.165680473,23.04545455,18.77777778,0.814814815
422,CRD Fernando,Sri Lanka,16,14,342,413,29.5,7.245614035,24.42857143,21.375,0.875
423,CS MacLeod,Scotland,12,3,138,181,60.33333333,7.869565217,46,11.5,0.25
424,CS Martin,New Zealand,6,7,138,193,27.57142857,8.391304348,19.71428571,23,1.166666667
425,CT Mumba,Zimbabwe,2,0,30,50,0,10,0,15,0
426,CT Mutombodzi,Zimbabwe,9,7,156,188,26.85714286,7.230769231,22.28571429,17.33333333,0.777777778
427,CT Tremlett,England,1,2,24,45,22.5,11.25,12,24,2
428,CV Harrison,Gibraltar,5,4,76,127,31.75,10.02631579,19,15.2,0.8
429,CV Varun,India,6,2,135,132,66,5.866666667,67.5,22.5,0.333333333
430,CW Perchard,Jersey,26,39,575,574,14.71794872,5.989565217,14.74358974,22.11538462,1.5
431,Charanjeet Singh,Italy,2,1,30,35,35,7,30,15,0.5
432,Chen Zhuo Yue,China,3,4,49,55,13.75,6.734693878,12.25,16.33333333,1.333333333
433,D Abeyrathna,Norway,1,1,12,12,12,6,12,12,1
434,D Ahir,Panama,3,3,66,74,24.66666667,6.727272727,22,22,1
435,D Ajekun,Nigeria,6,4,67,76,19,6.805970149,16.75,11.16666667,0.666666667
436,D Birrell,Jersey,4,5,84,82,16.4,5.857142857,16.8,21,1.25
437,D Bishoo,West Indies,7,7,121,137,19.57142857,6.79338843,17.28571429,17.28571429,1
438,D Doyle-Calle,Spain,1,0,6,6,0,6,0,6,0
439,D Finau,Samoa,3,1,42,69,69,9.857142857,42,14,0.333333333
440,D Gim,Nigeria,4,2,36,65,32.5,10.83333333,18,9,0.5
441,D Gough,England,2,3,41,49,16.33333333,7.170731707,13.66666667,20.5,1.5
442,D Heyliger,Canada,23,24,482,577,24.04166667,7.182572614,20.08333333,20.95652174,1.043478261
443,D Jakiel,Zimbabwe/Malawi,4,6,78,105,17.5,8.076923077,13,19.5,1.5
444,D Jansen,Isle of Man,6,2,101,118,59,7.00990099,50.5,16.83333333,0.333333333
445,D Johnson,Cayman Islands,3,2,41,59,29.5,8.634146341,20.5,13.66666667,0.666666667
446,D Kalvin,Seychelles,3,2,54,76,38,8.444444444,27,18,0.666666667
447,D Kansonkho,Malawi,6,2,87,125,62.5,8.620689655,43.5,14.5,0.333333333
448,D Kegasitswe,Botswana,3,2,72,156,78,13,36,24,0.666666667
449,D Klein,Germany,23,28,528,536,19.14285714,6.090909091,18.85714286,22.95652174,1.217391304
450,D Madushanka,Sri Lanka,10,11,198,308,28,9.333333333,18,19.8,1.1
451,D Maisuria,Botswana,24,49,514,451,9.204081633,5.26459144,10.48979592,21.41666667,2.041666667
452,D Marks,Malta,4,1,84,112,112,8,84,21,0.25
453,D Mogan,Malaysia,3,1,72,116,116,9.666666667,72,24,0.333333333
454,D Muhumuza,Uganda,15,9,204,233,25.88888889,6.852941176,22.66666667,13.6,0.6
455,D Mullen,Guernsey,3,2,60,86,43,8.6,30,20,0.666666667
456,D Myers,Zimbabwe,2,0,30,54,0,10.8,0,15,0
457,D Nikolov,Bulgaria,4,0,42,66,0,9.428571429,0,10.5,0
458,D Paterson,South Africa,8,9,179,265,29.44444444,8.882681564,19.88888889,22.375,1.125
459,D Polpitiya,Eswatini,4,4,66,87,21.75,7.909090909,16.5,16.5,1
460,D Pretorius,South Africa,27,35,504,696,19.88571429,8.285714286,14.4,18.66666667,1.296296296
461,D Ravu,Papua New Guinea,18,20,314,398,19.9,7.605095541,15.7,17.44444444,1.111111111
462,D Siva Kumar,United States of America,1,0,12,11,0,5.5,0,12,0
463,D Suzuki,Japan,11,7,144,155,22.14285714,6.458333333,20.57142857,13.09090909,0.636363636
464,D Wabwire,Uganda,2,3,36,44,14.66666667,7.333333333,12,18,1.5
465,D Wiese,South Africa/Namibia,39,40,797,986,24.65,7.422835634,19.925,20.43589744,1.025641026
466,D Wotu,Vanuatu,8,9,156,173,19.22222222,6.653846154,17.33333333,19.5,1.125
467,D la Cock,Namibia,1,0,6,11,0,11,0,6,0
468,DA Blignaut,Germany,21,16,274,341,21.3125,7.467153285,17.125,13.04761905,0.761904762
469,DAJ Bracewell,New Zealand,17,16,286,439,27.4375,9.20979021,17.875,16.82352941,0.941176471
470,DAS Gunaratne,Sri Lanka,10,4,149,204,51,8.214765101,37.25,14.9,0.4
471,DB Loic,Cameroon,8,6,141,162,27,6.893617021,23.5,17.625,0.75
472,DBL Powell,West Indies,5,2,102,131,65.5,7.705882353,51,20.4,0.4
473,DC Delany,Ireland,7,7,147,198,28.28571429,8.081632653,21,21,1
474,DC Drakes,West Indies,10,6,192,290,48.33333333,9.0625,32,19.2,0.6
475,DC Smith,Philippines,12,8,207,284,35.5,8.231884058,25.875,17.25,0.666666667
476,DC Stovell,Bermuda,8,5,121,163,32.6,8.082644628,24.2,15.125,0.625
477,DE Bernard,West Indies,1,0,24,17,0,4.25,0,24,0
478,DE Bollinger,Australia,6,6,138,163,27.16666667,7.086956522,23,23,1
479,DE Budge,Scotland,1,1,6,22,22,22,6,6,1
480,DE Martel,Guernsey,4,2,74,67,33.5,5.432432432,37,18.5,0.5
481,DE Roache,Samoa,1,3,18,23,7.666666667,7.666666667,6,18,3
482,DF Jacobs,Thailand,2,4,30,26,6.5,5.2,7.5,15,2
483,DG Blampied,Jersey,25,21,415,499,23.76190476,7.214457831,19.76190476,16.6,0.84
484,DI Allan,Kenya,5,3,38,62,20.66666667,9.789473684,12.66666667,7.6,0.6
485,DJ Bravo,West Indies,71,69,1419,1920,27.82608696,8.118393235,20.56521739,19.98591549,0.971830986
486,DJ Hawoe,Indonesia,5,6,91,92,15.33333333,6.065934066,15.16666667,18.2,1.2
487,DJ Hooda,India,7,6,89,73,12.16666667,4.921348315,14.83333333,12.71428571,0.857142857
488,DJ Hussey,Australia,23,18,337,364,20.22222222,6.480712166,18.72222222,14.65217391,0.782608696
489,DJ Malan,England,1,1,12,27,27,13.5,12,12,1
490,DJ Mitchell,New Zealand,10,8,89,148,18.5,9.97752809,11.125,8.9,0.8
491,DJ Turkich,Croatia,5,7,108,59,8.428571429,3.277777778,15.42857143,21.6,1.4
492,DJ Willey,England,41,48,836,1132,23.58333333,8.124401914,17.41666667,20.3902439,1.170731707
493,DJG Sammy,ICC World XI/West Indies,54,37,856,1027,27.75675676,7.198598131,23.13513514,15.85185185,0.685185185
494,DJM Short,Australia,9,3,114,151,50.33333333,7.947368421,38,12.66666667,0.333333333
495,DK Anefie,Ghana,14,8,252,265,33.125,6.30952381,31.5,18,0.571428571
496,DK Mathias,Bahrain,7,2,84,115,57.5,8.214285714,42,12,0.285714286
497,DK Pallekonda,Slovenia,1,2,12,13,6.5,6.5,6,12,2
498,DKD Warnakulasuriya,Italy,8,9,132,152,16.88888889,6.909090909,14.66666667,16.5,1.125
499,DL Brangman,Bermuda,10,9,180,194,21.55555556,6.466666667,20,18,0.9
500,DL Chahar,India,24,27,516,703,26.03703704,8.174418605,19.11111111,21.5,1.125
501,DL Maddy,England,2,3,18,26,8.666666667,8.666666667,6,9,1.5
502,DL Vettori,New Zealand,31,34,715,662,19.47058824,5.555244755,21.02941176,23.06451613,1.096774194
503,DLS van Bunge,Netherlands,2,0,14,15,0,6.428571429,0,7,0
504,DM Nakrani,Uganda,38,49,788,757,15.44897959,5.763959391,16.08163265,20.73684211,1.289473684
505,DM de Silva,Sri Lanka,21,11,239,285,25.90909091,7.154811715,21.72727273,11.38095238,0.523809524
506,DMW Rawlins,Bermuda,17,16,384,391,24.4375,6.109375,24,22.58823529,0.941176471
507,DNA Ankrah,Ghana,4,2,72,85,42.5,7.083333333,36,18,0.5
508,DO Leicher,Namibia,2,1,30,45,45,9,30,15,0.5
509,DP Michael,Samoa,2,1,32,53,53,9.9375,32,16,0.5
510,DP Nannes,Australia/Netherlands,15,26,342,408,15.69230769,7.157894737,13.15384615,22.8,1.733333333
511,DPMD Jayawardene,Sri Lanka,1,0,6,8,0,8,0,6,0
512,DR Briggs,England,6,5,108,199,39.8,11.05555556,21.6,18,0.833333333
513,DR Brown,Scotland,1,0,24,44,0,11,0,24,0
514,DR Flynn,New Zealand,1,0,6,7,0,7,0,6,0
515,DR Hooper,Guernsey,16,10,317,381,38.1,7.211356467,31.7,19.8125,0.625
516,DR Sams,Australia,10,7,180,305,43.57142857,10.16666667,25.71428571,18,0.7
517,DR Smith,West Indies,10,4,122,203,50.75,9.983606557,30.5,12.2,0.4
518,DR Tuffey,New Zealand,3,3,60,93,31,9.3,20,20,1
519,DS Airee,Nepal,21,16,350,361,22.5625,6.188571429,21.875,16.66666667,0.761904762
520,DS Kulkarni,India,2,3,48,55,18.33333333,6.875,16,24,1.5
521,DS Wesonga,Kenya,1,0,12,15,0,7.5,0,12,0
522,DSK Madushanka,Sri Lanka,2,2,31,62,31,12,15.5,15.5,1
523,DT Christian,Australia,19,12,249,350,29.16666667,8.43373494,20.75,13.10526316,0.631578947
524,DT Johnston,Ireland,21,24,456,496,20.66666667,6.526315789,19,21.71428571,1.142857143
525,DT Tiripano,Zimbabwe,23,16,417,617,38.5625,8.877697842,26.0625,18.13043478,0.695652174
526,DV Macome,Mozambique,1,0,18,19,0,6.333333333,0,18,0
527,DV Varghese,Bulgaria,22,7,266,450,64.28571429,10.15037594,38,12.09090909,0.318181818
528,DW Steyn,South Africa,42,55,913,1042,18.94545455,6.847754655,16.6,21.73809524,1.30952381
529,Danish Aziz,Pakistan,1,2,18,29,14.5,9.666666667,9,18,2
530,Danish Jasnaik,Bahrain,4,1,72,116,116,9.666666667,72,18,0.25
531,Danyal Raja,Bulgaria,3,5,66,80,16,7.272727273,13.2,22,1.666666667
532,Dawlat Ahmadzai,Afghanistan,1,1,12,21,21,10.5,12,12,1
533,Dawlat Zadran,Afghanistan,34,40,741,980,24.5,7.935222672,18.525,21.79411765,1.176470588
534,Dawood Ahmadzai,France,17,17,354,365,21.47058824,6.186440678,20.82352941,20.82352941,1
535,Delawar Khan,Denmark,12,8,199,243,30.375,7.326633166,24.875,16.58333333,0.666666667
536,Deng Jinqi,China,1,0,12,22,0,11,0,12,0
537,Dharmendra Manani,Romania,1,2,18,25,12.5,8.333333333,9,18,2
538,E Chigumbura,Zimbabwe,16,12,198,316,26.33333333,9.575757576,16.5,12.375,0.75
539,E Ernest,Sierra Leone,6,4,114,90,22.5,4.736842105,28.5,19,0.666666667
540,E Isaneez,Uganda,3,1,56,53,53,5.678571429,56,18.66666667,0.333333333
541,E Jabarkhel,Luxembourg,8,6,184,248,41.33333333,8.086956522,30.66666667,23,0.75
542,E Kahamker,Israel,2,0,24,46,0,11.5,0,12,0
543,E Karimi,Denmark,2,2,42,56,28,8,21,21,1
544,E Kubwimana,Rwanda,3,2,39,65,32.5,10,19.5,13,0.666666667
545,E Kuyumcu,Turkey,3,0,18,36,0,12,0,6,0
546,E Leie,South Africa,2,4,36,48,12,8,9,18,2
547,E Mathew,Malta,9,13,192,247,19,7.71875,14.76923077,21.33333333,1.444444444
548,E Niyomugabo,Rwanda,10,9,153,187,20.77777778,7.333333333,17,15.3,0.9
549,E Ochieng,Kenya,6,4,114,165,41.25,8.684210526,28.5,19,0.666666667
550,E Otieno,Kenya,28,28,473,589,21.03571429,7.471458774,16.89285714,16.89285714,1
551,E Packard,Gibraltar,7,5,132,169,33.8,7.681818182,26.4,18.85714286,0.714285714
552,E Rukiriza,Rwanda,9,11,198,210,19.09090909,6.363636364,18,22,1.222222222
553,E Samson,Israel,2,2,30,36,18,7.2,15,15,1
554,E Schiferli,Netherlands,4,2,90,113,56.5,7.533333333,45,22.5,0.5
555,E Sebareme,Rwanda,22,20,389,369,18.45,5.69151671,19.45,17.68181818,0.909090909
556,E Ul Haq,Norway,1,0,1,4,0,24,0,1,0
557,E Walker,Isle of Man,2,1,30,55,55,11,30,15,0.5
558,EB Ringera,Kenya,17,20,311,331,16.55,6.38585209,15.55,18.29411765,1.176470588
559,EC Rainsford,Zimbabwe,2,0,36,67,0,11.16666667,0,18,0
560,ED Silva,Kuwait,7,5,96,125,25,7.8125,19.2,13.71428571,0.714285714
561,EF Beard,Isle of Man,1,0,12,14,0,7,0,12,0
562,EH Hutchinson,United States of America,3,2,48,31,15.5,3.875,24,16,0.666666667
563,EHSN Silva,United Arab Emirates,2,2,42,58,29,8.285714286,21,21,1
564,EJB Miles,Jersey,22,22,408,438,19.90909091,6.441176471,18.54545455,18.54545455,1
565,EMDY Munaweera,Sri Lanka,5,1,60,92,92,9.2,60,12,0.2
566,EP Thompson,New Zealand,1,1,18,18,18,6,18,18,1
567,Ebadat Hossain,Bangladesh,4,7,91,140,20,9.230769231,13,22.75,1.75
568,Ehsan Khan,Hong Kong,36,46,786,806,17.52173913,6.152671756,17.08695652,21.83333333,1.277777778
569,Ehsan Nawaz,Hong Kong,5,2,46,79,39.5,10.30434783,23,9.2,0.4
570,Elan Talker,Israel,2,2,24,34,17,8.5,12,12,1
571,Elias Hasan,Estonia,3,0,48,67,0,8.375,0,16,0
572,Elias Sunny,Bangladesh,4,6,78,89,14.83333333,6.846153846,13,19.5,1.5
573,Emran Shahbakhsh,Iran,1,0,5,14,0,16.8,0,5,0
574,F Akankwasa,Uganda,18,17,316,325,19.11764706,6.170886076,18.58823529,17.55555556,0.944444444
575,F Banunaek,Indonesia,5,4,96,81,20.25,5.0625,24,19.2,0.8
576,F Behardien,South Africa,3,3,30,27,9,5.4,10,10,1
577,F Choudary,Sweden,2,1,18,31,31,10.33333333,18,9,0.5
578,F Clarke,Isle of Man,3,2,54,68,34,7.555555556,27,18,0.666666667
579,F Damiao Couana,Mozambique,12,11,222,291,26.45454545,7.864864865,20.18181818,18.5,0.916666667
580,F Hand,Ireland,9,4,92,156,39,10.17391304,23,10.22222222,0.444444444
581,F Nsubuga,Uganda,42,41,870,683,16.65853659,4.710344828,21.2195122,20.71428571,0.976190476
582,F Stoman,Portugal,8,10,186,200,20,6.451612903,18.6,23.25,1.25
583,F du Plessis,South Africa,2,0,8,3,0,2.25,0,4,0
584,FA Allen,West Indies,29,22,521,646,29.36363636,7.439539347,23.68181818,17.96551724,0.75862069
585,FA Cossa,Mozambique,12,12,252,292,24.33333333,6.952380952,21,21,1
586,FH Edwards,West Indies,24,17,413,566,33.29411765,8.222760291,24.29411765,17.20833333,0.708333333
587,FJ Klaassen,Netherlands,35,38,738,910,23.94736842,7.398373984,19.42105263,21.08571429,1.085714286
588,FJ Mpegna,Cameroon,1,0,12,37,0,18.5,0,12,0
589,FL Patel,Panama,1,0,6,10,0,10,0,6,0
590,FN Walsh,Philippines,1,2,24,58,29,14.5,12,24,2
591,Fahad Tariq,United Arab Emirates,2,0,18,26,0,8.666666667,0,9,0
592,Faheem Ashraf,Pakistan,45,35,763,972,27.77142857,7.643512451,21.8,16.95555556,0.777777778
593,Faheem Nazir,Switzerland,9,10,162,194,19.4,7.185185185,16.2,18,1.111111111
594,Faisal Khan,Saudi Arabia,6,1,66,115,115,10.45454545,66,11,0.166666667
595,Fakhar Zaman,Pakistan,1,0,6,12,0,12,0,6,0
596,Fakhrul Mohon,Portugal,6,3,102,129,43,7.588235294,34,17,0.5
597,Fanyan Mughal,Malta,20,18,382,468,26,7.35078534,21.22222222,19.1,0.9
598,Fareed Ahmad,Afghanistan,25,32,465,681,21.28125,8.787096774,14.53125,18.6,1.28
599,Farhad Reza,Bangladesh,11,6,157,261,43.5,9.974522293,26.16666667,14.27272727,0.545454545
600,Farhan Ahmed,United Arab Emirates,3,3,54,66,22,7.333333333,18,18,1
601,Farzan Afzal,Spain,3,2,72,46,23,3.833333333,36,24,0.666666667
602,Fawad Ahmed,Australia,2,3,48,68,22.66666667,8.5,16,24,1.5
603,Fawad Alam,Pakistan,5,4,72,88,22,7.333333333,18,14.4,0.8
604,Fayaz Khan,Germany,7,8,144,174,21.75,7.25,18,20.57142857,1.142857143
605,Fayaz Mohammad,Bulgaria,1,0,8,18,0,13.5,0,8,0
606,Fayyaz Ahmed,United Arab Emirates,1,1,18,29,29,9.666666667,18,18,1
607,Fayyaz Butt,Oman,22,19,405,516,27.15789474,7.644444444,21.31578947,18.40909091,0.863636364
608,Fazal Niazai,Afghanistan,1,0,6,13,0,13,0,6,0
609,Fazalhaq Farooqi,Afghanistan,24,26,544,590,22.69230769,6.507352941,20.92307692,22.66666667,1.083333333
610,Fazil Rahman,Malta,6,13,131,158,12.15384615,7.236641221,10.07692308,21.83333333,2.166666667
611,Festus Benn,Bahamas,4,3,66,77,25.66666667,7,22,16.5,0.75
612,Fitri Sham,Malaysia,32,38,674,755,19.86842105,6.721068249,17.73684211,21.0625,1.1875
613,G Axtell,Bahrain,2,1,42,42,42,6,42,21,0.5
614,G Bakiweyem,Ghana,16,12,280,310,25.83333333,6.642857143,23.33333333,17.5,0.75
615,G Chohan,Philippines,6,3,91,175,58.33333333,11.53846154,30.33333333,15.16666667,0.5
616,G Fatouros,Greece,3,3,54,67,22.33333333,7.444444444,18,18,1
617,G Goudie,Scotland,4,3,66,99,33,9,22,16.5,0.75
618,G Irvin,Bahamas,1,0,12,10,0,5,0,12,0
619,G Johnson,St Helena,3,1,48,52,52,6.5,48,16,0.333333333
620,G Kansonkho,Malawi,3,2,30,41,20.5,8.2,15,10,0.666666667
621,G Mckeon,France,4,4,67,65,16.25,5.820895522,16.75,16.75,1
622,G Motie,West Indies,1,0,24,29,0,7.25,0,24,0
