,Bowler,Country,No. of Matches Bowled In,Total Wickets,Total Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
74,AC Douglas,Bermuda,3,8,50,52,6.5,6.24,6.25,16.66666667,2.666666667
75,AC Evans,Scotland,31,38,678,912,24,8.07079646,17.84210526,21.87096774,1.225806452
76,AC Voges,Australia,1,2,12,5,2.5,2.5,6,12,2
77,ACF Stokes,Guernsey,10,13,222,216,16.61538462,5.837837838,17.07692308,22.2,1.3
78,AD Mascarenhas,England,14,12,252,309,25.75,7.357142857,21,18,0.857142857
79,AD Mathews,Sri Lanka,56,37,943,1104,29.83783784,7.024390244,25.48648649,16.83928571,0.660714286
80,AD Russell,West Indies,51,34,842,1301,38.26470588,9.270783848,24.76470588,16.50980392,0.666666667
81,ADL Stokoe,Isle of Man,4,3,72,67,22.33333333,5.583333333,24,18,0.75
82,AE Isesele,Nigeria,1,1,12,11,11,5.5,12,12,1
83,AF Ifill,Cayman Islands,10,9,207,240,26.66666667,6.956521739,23,20.7,0.9
84,AF Milne,New Zealand,39,45,833,1100,24.44444444,7.923169268,18.51111111,21.35897436,1.153846154
85,AG Cremer,Zimbabwe,27,33,552,650,19.6969697,7.065217391,16.72727273,20.44444444,1.222222222
86,AG Weligamage,Hungary,10,6,186,326,54.33333333,10.51612903,31,18.6,0.6
87,AJ Finch,Australia,1,0,6,9,0,9,0,6,0
88,AJ Hall,South Africa,2,3,48,60,20,7.5,16,24,1.5
89,AJ Hosein,West Indies,35,27,756,914,33.85185185,7.253968254,28,21.6,0.771428571
90,AJ McKay,New Zealand,2,2,34,31,15.5,5.470588235,17,17,1
91,AJ Michael,Samoa,3,2,46,52,26,6.782608696,23,15.33333333,0.666666667
92,AJ Redmond,New Zealand,1,1,17,24,24,8.470588235,17,17,1
93,AJ Turner,Australia,6,4,78,82,20.5,6.307692308,19.5,13,0.666666667
94,AJ Tye,Australia,31,46,683,997,21.67391304,8.758418741,14.84782609,22.03225806,1.483870968
95,AK Kitchen,New Zealand,3,2,36,46,23,7.666666667,18,12,0.666666667
96,AK Markram,South Africa,14,6,162,212,35.33333333,7.851851852,27,11.57142857,0.428571429
97,AK Muslar,Belize,1,0,24,36,0,9,0,24,0
98,AK Perera,Sri Lanka,1,0,6,17,0,17,0,6,0
99,AL Kerai,Sierra Leone,1,0,6,9,0,9,0,6,0
100,AL Phehlukwayo,South Africa,34,41,646,946,23.07317073,8.786377709,15.75609756,19,1.205882353
101,AL Stephen,Vanuatu,8,9,139,184,20.44444444,7.942446043,15.44444444,17.375,1.125
102,AM Ellis,New Zealand,4,2,60,105,52.5,10.5,30,15,0.5
103,AM Fernando,Sri Lanka,3,2,60,113,56.5,11.3,30,20,0.666666667
104,AM Guruge,United Arab Emirates,5,4,96,125,31.25,7.8125,24,19.2,0.8
105,AM Kimote,Tanzania,29,26,422,543,20.88461538,7.720379147,16.23076923,14.55172414,0.896551724
106,AM McCarthy,West Indies,1,0,12,12,0,6,0,12,0
107,AM Oyede,Nigeria,2,0,30,30,0,6,0,15,0
108,AM Patel,Panama,2,1,18,19,19,6.333333333,18,9,0.5
109,AM Phangiso,South Africa,16,20,342,443,22.15,7.771929825,17.1,21.375,1.25
110,AN Hyobeom,South Korea,2,1,18,35,35,11.66666667,18,9,0.5
111,AN Toube,Cameroon,5,3,108,141,47,7.833333333,36,21.6,0.6
112,AO Suji,Kenya,2,0,37,53,0,8.594594595,0,18.5,0
113,AP Devcich,New Zealand,4,1,72,80,80,6.666666667,72,18,0.25
114,AR Adams,New Zealand,4,3,77,105,35,8.181818182,25.66666667,19.25,0.75
115,AR Balla,Cameroon,1,0,6,16,0,16,0,6,0
116,AR Cusack,Ireland,27,27,510,609,22.55555556,7.164705882,18.88888889,18.88888889,1
117,AR McBrine,Ireland,23,20,366,429,21.45,7.032786885,18.3,15.91304348,0.869565217
118,AR Nurse,West Indies,12,7,228,305,43.57142857,8.026315789,32.57142857,19,0.583333333
119,AR Patel,India,42,36,793,998,27.72222222,7.551071879,22.02777778,18.88095238,0.857142857
120,AR Patwa,Tanzania,1,1,6,4,4,4,6,6,1
121,AR Puri,Singapore,15,12,252,367,30.58333333,8.738095238,21,16.8,0.8
122,AR Ramjani,Uganda,14,22,275,233,10.59090909,5.083636364,12.5,19.64285714,1.571428571
123,AR White,Ireland,1,2,24,18,9,4.5,12,24,2
124,AS Abioye,Nigeria,3,3,48,70,23.33333333,8.75,16,16,1
125,AS Dean,Canada,1,0,12,14,0,7,0,12,0
126,AS Hansra,Canada,6,6,90,94,15.66666667,6.266666667,15,15,1
127,AS Joseph,West Indies,16,26,366,493,18.96153846,8.081967213,14.07692308,22.875,1.625
128,AS Mehmi,Greece,5,3,84,101,33.66666667,7.214285714,28,16.8,0.6
129,ASF Sirah,Philippines,4,6,84,95,15.83333333,6.785714286,14,21,1.5
130,AU Rashid,England,88,86,1928,2377,27.63953488,7.397302905,22.41860465,21.90909091,0.977272727
131,AV Lalcheta,Oman,14,7,285,356,50.85714286,7.494736842,40.71428571,20.35714286,0.5
132,AW Hawkins-Kay,Jersey,9,7,132,161,23,7.318181818,18.85714286,14.66666667,0.777777778
133,AY Patel,New Zealand,7,11,156,118,10.72727273,4.538461538,14.18181818,22.28571429,1.571428571
134,Aamer Jamal,Pakistan,2,1,24,43,43,10.75,24,12,0.5
135,Aamer Yamin,Pakistan,1,1,24,25,25,6.25,24,24,1
136,Aamir Kaleem,Oman,25,28,408,485,17.32142857,7.132352941,14.57142857,16.32,1.12
137,Aamir Lal,South Korea,3,6,72,84,14,7,12,24,2
138,Aarif Sheikh,Nepal,7,3,72,79,26.33333333,6.583333333,24,10.28571429,0.428571429
