,Batter,Batter Team(s),No. of Innings,Not Outs,Total Runs,Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
616,WD Parnell,Pune Warriors/Royal Challengers Bangalore/Delhi Daredevils,13,3,65,80,10,6.5,81.25,6.153846154,8
617,WP Saha,Gujarat Titans/Kings XI Punjab/Sunrisers Hyderabad/Kolkata Knight Riders/Chennai Super Kings,132,22,2754,2158,110,25.03636364,127.618165,16.34848485,19.61818182
618,WPUJC Vaas,Deccan Chargers,11,3,81,72,8,10.125,112.5,6.545454545,9
619,Washington Sundar,Sunrisers Hyderabad/Royal Challengers Bangalore/Rising Pune Supergiant,37,10,378,323,27,14,117.0278638,8.72972973,11.96296296
620,X Thalaivan Sargunam,Sunrisers Hyderabad,1,0,10,17,1,10,58.82352941,17,17
621,Y Gnaneswara Rao,Kochi Tuskers Kerala,1,0,19,17,1,19,111.7647059,17,17
622,Y Nagar,Delhi Daredevils,20,6,285,259,14,20.35714286,110.03861,12.95,18.5
623,Y Prithvi Raj,Kolkata Knight Riders,1,1,0,1,0,0,0,1,inf
624,Y Venugopal Rao,Delhi Daredevils/Deccan Chargers/Sunrisers Hyderabad,51,7,985,831,44,22.38636364,118.5318893,16.29411765,18.88636364
625,YA Abdulla,Kings XI Punjab,1,1,0,1,0,0,0,1,inf
626,YBK Jaiswal,Rajasthan Royals,37,1,1172,784,36,32.55555556,149.4897959,21.18918919,21.77777778
627,YK Pathan,Rajasthan Royals/Kolkata Knight Riders/Sunrisers Hyderabad,152,43,3162,2208,109,29.00917431,143.2065217,14.52631579,20.25688073
628,YS Chahal,Royal Challengers Bangalore/Rajasthan Royals,17,10,37,86,7,5.285714286,43.02325581,5.058823529,12.28571429
629,YV Dhull,Delhi Capitals,3,0,16,23,3,5.333333333,69.56521739,7.666666667,7.666666667
630,YV Takawale,Mumbai Indians/Royal Challengers Bangalore,10,2,192,177,8,24,108.4745763,17.7,22.125
631,Yash Dayal,Gujarat Titans,1,0,0,1,1,0,0,1,1
632,Yashpal Singh,Kolkata Knight Riders,3,0,27,47,3,9,57.44680851,15.66666667,15.66666667
633,Younis Khan,Rajasthan Royals,1,0,3,7,1,3,42.85714286,7,7
634,Yudhvir Singh,Lucknow Super Giants,2,0,1,2,2,0.5,50,1,1
635,Yuvraj Singh,Kings XI Punjab/Mumbai Indians/Royal Challengers Bangalore/Delhi Daredevils/Sunrisers Hyderabad/Pune Warriors,124,15,2696,2078,109,24.73394495,129.7401347,16.75806452,19.06422018
636,Z Khan,Delhi Daredevils/Royal Challengers Bangalore/Mumbai Indians,27,13,117,140,14,8.357142857,83.57142857,5.185185185,10
