,Batter,Batter Team(s),No. of Innings,Not Outs,Total Runs,Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
466,RR Pant,Delhi Capitals/Delhi Daredevils,94,15,2759,1838,79,34.92405063,150.1088139,19.55319149,23.26582278
467,RR Powar,Kochi Tuskers Kerala/Kings XI Punjab,8,5,65,63,3,21.66666667,103.1746032,7.875,21
468,RR Raje,Mumbai Indians,5,4,20,18,1,20,111.1111111,3.6,18
469,RR Rossouw,Royal Challengers Bangalore/Delhi Capitals,14,2,262,191,12,21.83333333,137.1727749,13.64285714,15.91666667
470,RR Sarwan,Kings XI Punjab,4,0,73,75,4,18.25,97.33333333,18.75,18.75
471,RS Bopara,Kings XI Punjab/Sunrisers Hyderabad,21,4,530,445,17,31.17647059,119.1011236,21.19047619,26.17647059
472,RS Gavaskar,Kolkata Knight Riders,1,0,2,8,1,2,25,8,8
473,RS Sodhi,Kings XI Punjab,1,1,4,2,0,4,200,2,inf
474,RT Ponting,Mumbai Indians/Kolkata Knight Riders,9,0,91,128,9,10.11111111,71.09375,14.22222222,14.22222222
475,RV Gomez,Kochi Tuskers Kerala/Pune Warriors,9,4,50,51,5,10,98.03921569,5.666666667,10.2
476,RV Patel,Delhi Capitals,7,2,80,73,5,16,109.5890411,10.42857143,14.6
477,RV Uthappa,Mumbai Indians/Pune Warriors/Chennai Super Kings/Kolkata Knight Riders/Rajasthan Royals/Royal Challengers Bangalore,195,17,4941,3775,178,27.75842697,130.8874172,19.35897436,21.20786517
478,Rahmanullah Gurbaz,Kolkata Knight Riders,11,0,227,169,11,20.63636364,134.3195266,15.36363636,15.36363636
479,Ramandeep Singh,Mumbai Indians,4,2,45,39,2,22.5,115.3846154,9.75,19.5
480,Rashid Khan,Gujarat Titans/Sunrisers Hyderabad,48,17,442,260,31,14.25806452,170,5.416666667,8.387096774
481,Rasikh Salam,Mumbai Indians/Kolkata Knight Riders,2,1,12,10,1,12,120,5,10
482,Ravi Bishnoi,Lucknow Super Giants/Kings XI Punjab/Punjab Kings,11,6,28,44,5,5.6,63.63636364,4,8.8
483,S Anirudha,Sunrisers Hyderabad/Chennai Super Kings,12,4,136,112,8,17,121.4285714,9.333333333,14
484,S Aravind,Royal Challengers Bangalore,10,6,59,57,4,14.75,103.5087719,5.7,14.25
485,S Badree,Royal Challengers Bangalore,5,0,13,23,5,2.6,56.52173913,4.6,4.6
486,S Badrinath,Chennai Super Kings,64,18,1439,1206,46,31.2826087,119.3200663,18.84375,26.2173913
487,S Chanderpaul,Royal Challengers Bangalore,3,0,25,31,3,8.333333333,80.64516129,10.33333333,10.33333333
488,S Dhawan,Delhi Capitals/Delhi Daredevils/Punjab Kings/Sunrisers Hyderabad/Deccan Chargers/Mumbai Indians,213,28,6573,5145,185,35.52972973,127.755102,24.15492958,27.81081081
489,S Dube,Chennai Super Kings/Royal Challengers Bangalore/Rajasthan Royals,46,7,1079,769,39,27.66666667,140.3120936,16.7173913,19.71794872
490,S Gopal,Rajasthan Royals/Sunrisers Hyderabad/Mumbai Indians,22,8,180,169,14,12.85714286,106.5088757,7.681818182,12.07142857
491,S Kaul,Sunrisers Hyderabad/Delhi Daredevils,9,5,20,36,4,5,55.55555556,4,9
492,S Kaushik,Gujarat Lions,1,0,0,1,1,0,0,1,1
493,S Ladda,Delhi Daredevils,2,1,0,9,1,0,0,4.5,9
494,S Lamichhane,Delhi Capitals,1,0,0,1,1,0,0,1,1
495,S Nadeem,Delhi Daredevils/Sunrisers Hyderabad,20,6,39,87,14,2.785714286,44.82758621,4.35,6.214285714
496,S Narwal,Kolkata Knight Riders/Rajasthan Royals,4,1,37,27,3,12.33333333,137.037037,6.75,9
497,S Rana,Pune Warriors/Royal Challengers Bangalore,8,4,91,79,4,22.75,115.1898734,9.875,19.75
498,S Randiv,Chennai Super Kings,1,0,2,4,1,2,50,4,4
499,S Sohal,Deccan Chargers/Kings XI Punjab,20,0,368,289,20,18.4,127.3356401,14.45,14.45
500,S Sreesanth,Kings XI Punjab/Kochi Tuskers Kerala/Rajasthan Royals,12,8,34,55,4,8.5,61.81818182,4.583333333,13.75
501,S Sriram,Royal Challengers Bangalore/Delhi Daredevils,2,0,31,36,2,15.5,86.11111111,18,18
502,S Tyagi,Chennai Super Kings,1,0,3,4,1,3,75,4,4
503,S Vidyut,Chennai Super Kings,8,0,145,109,8,18.125,133.0275229,13.625,13.625
504,SA Abbott,Royal Challengers Bangalore/Sunrisers Hyderabad,3,0,22,18,3,7.333333333,122.2222222,6,6
505,SA Asnodkar,Rajasthan Royals,19,-1,423,337,20,21.15,125.5192878,17.73684211,16.85
506,SA Yadav,Mumbai Indians/Kolkata Knight Riders,120,22,3195,2215,98,32.60204082,144.2437923,18.45833333,22.60204082
507,SB Bangar,Deccan Chargers,6,0,47,49,6,7.833333333,95.91836735,8.166666667,8.166666667
508,SB Jakati,Chennai Super Kings/Gujarat Lions,5,4,28,29,1,28,96.55172414,5.8,29
509,SB Joshi,Royal Challengers Bangalore,2,0,6,14,2,3,42.85714286,7,7
510,SB Styris,Deccan Chargers/Chennai Super Kings,10,3,131,132,7,18.71428571,99.24242424,13.2,18.85714286
511,SB Wagh,Pune Warriors,2,0,2,3,2,1,66.66666667,1.5,1.5
512,SC Ganguly,Pune Warriors/Kolkata Knight Riders,55,3,1303,1228,52,25.05769231,106.1074919,22.32727273,23.61538462
513,SD Chitnis,Mumbai Indians/Kings XI Punjab/Rajasthan Royals,8,1,99,88,7,14.14285714,112.5,11,12.57142857
514,SD Lad,Mumbai Indians,1,0,15,13,1,15,115.3846154,13,13
515,SE Bond,Kolkata Knight Riders,1,0,1,2,1,1,50,2,2
516,SE Marsh,Kings XI Punjab,68,7,2412,1822,61,39.54098361,132.3819978,26.79411765,29.86885246
517,SE Rutherford,Delhi Capitals/Royal Challengers Bangalore,9,2,106,104,7,15.14285714,101.9230769,11.55555556,14.85714286
518,SJ Srivastava,Kings XI Punjab,4,3,5,5,1,5,100,1.25,5
519,SK Raina,Chennai Super Kings/Gujarat Lions,198,30,5512,4008,168,32.80952381,137.5249501,20.24242424,23.85714286
520,SK Trivedi,Rajasthan Royals,14,7,42,58,7,6,72.4137931,4.142857143,8.285714286
521,SK Warne,Rajasthan Royals,26,6,196,211,20,9.8,92.89099526,8.115384615,10.55
522,SL Malinga,Mumbai Indians,19,3,88,98,16,5.5,89.79591837,5.157894737,6.125
523,SM Curran,Kings XI Punjab/Chennai Super Kings/Punjab Kings,36,11,613,426,25,24.52,143.8967136,11.83333333,17.04
524,SM Harwood,Rajasthan Royals,2,2,9,13,0,9,69.23076923,6.5,inf
525,SM Katich,Kings XI Punjab,11,1,241,185,10,24.1,130.2702703,16.81818182,18.5
526,SM Pollock,Mumbai Indians,8,0,147,111,8,18.375,132.4324324,13.875,13.875
527,SMSM Senanayake,Kolkata Knight Riders,4,3,10,16,1,10,62.5,4,16
528,SN Khan,Royal Challengers Bangalore/Punjab Kings/Delhi Capitals/Kings XI Punjab,34,9,528,412,25,21.12,128.1553398,12.11764706,16.48
529,SN Thakur,Chennai Super Kings/Delhi Capitals/Kolkata Knight Riders/Rising Pune Supergiant/Kings XI Punjab,32,8,286,203,24,11.91666667,140.8866995,6.34375,8.458333333
530,SO Hetmyer,Delhi Capitals/Rajasthan Royals/Royal Challengers Bangalore,54,21,1122,724,33,34,154.9723757,13.40740741,21.93939394
531,SP Fleming,Chennai Super Kings,10,1,196,162,9,21.77777778,120.9876543,16.2,18
532,SP Goswami,Kolkata Knight Riders/Rajasthan Royals/Royal Challengers Bangalore/Sunrisers Hyderabad,21,1,293,293,20,14.65,100,13.95238095,14.65
533,SP Jackson,Kolkata Knight Riders,8,2,61,57,6,10.16666667,107.0175439,7.125,9.5
534,SP Narine,Kolkata Knight Riders,91,15,1045,653,76,13.75,160.0306279,7.175824176,8.592105263
535,SPD Smith,Delhi Capitals/Rising Pune Supergiants/Rajasthan Royals/Pune Warriors/Rising Pune Supergiant,90,19,2432,1890,71,34.25352113,128.6772487,21,26.61971831
536,SR Tendulkar,Mumbai Indians,78,9,2334,1941,69,33.82608696,120.2472952,24.88461538,28.13043478
537,SR Watson,Rajasthan Royals/Royal Challengers Bangalore/Chennai Super Kings,139,16,3796,2738,123,30.86178862,138.641344,19.69784173,22.2601626
538,SS Cottrell,Kings XI Punjab,1,0,0,2,1,0,0,2,2
539,SS Iyer,Delhi Capitals/Delhi Daredevils/Kolkata Knight Riders,97,12,2674,2126,85,31.45882353,125.7761054,21.91752577,25.01176471
540,SS Prabhudessai,Royal Challengers Bangalore,9,0,102,87,9,11.33333333,117.2413793,9.666666667,9.666666667
541,SS Shaikh,Kolkata Knight Riders,1,0,6,7,1,6,85.71428571,7,7
542,SS Tiwary,Mumbai Indians/Royal Challengers Bangalore/Rising Pune Supergiants/Delhi Daredevils,72,20,1481,1226,52,28.48076923,120.7993475,17.02777778,23.57692308
543,ST Jayasuriya,Mumbai Indians,30,2,768,529,28,27.42857143,145.1795841,17.63333333,18.89285714
544,STR Binny,Rajasthan Royals/Royal Challengers Bangalore/Mumbai Indians,64,19,868,677,45,19.28888889,128.2127031,10.578125,15.04444444
545,SV Samson,Rajasthan Royals/Delhi Daredevils,144,13,3835,2790,131,29.27480916,137.4551971,19.375,21.29770992
546,SW Billings,Chennai Super Kings/Kolkata Knight Riders/Delhi Daredevils,27,1,503,385,26,19.34615385,130.6493506,14.25925926,14.80769231
547,SW Tait,Rajasthan Royals,5,2,23,26,3,7.666666667,88.46153846,5.2,8.666666667
548,Sachin Baby,Royal Challengers Bangalore/Rajasthan Royals,11,2,144,115,9,16,125.2173913,10.45454545,12.77777778
549,Salman Butt,Kolkata Knight Riders,7,0,193,160,7,27.57142857,120.625,22.85714286,22.85714286
550,Sandeep Sharma,Kings XI Punjab/Sunrisers Hyderabad/Rajasthan Royals,25,19,54,69,6,9,78.26086957,2.76,11.5
551,Sanvir Singh,Sunrisers Hyderabad,2,1,11,9,1,11,122.2222222,4.5,9
552,Shahbaz Ahmed,Royal Challengers Bangalore,25,6,321,272,19,16.89473684,118.0147059,10.88,14.31578947
553,Shahid Afridi,Deccan Chargers,9,1,81,46,8,10.125,176.0869565,5.111111111,5.75
554,Shakib Al Hasan,Kolkata Knight Riders/Sunrisers Hyderabad,51,11,764,615,40,19.1,124.2276423,12.05882353,15.375
555,Shashank Singh,Sunrisers Hyderabad,5,1,69,47,4,17.25,146.8085106,9.4,11.75
556,Shivam Mavi,Kolkata Knight Riders,11,2,51,56,9,5.666666667,91.07142857,5.090909091,6.222222222
557,Shivam Sharma,Kings XI Punjab,2,1,5,3,1,5,166.6666667,1.5,3
558,Shoaib Ahmed,Deccan Chargers,3,1,1,6,2,0.5,16.66666667,2,3
559,Shoaib Akhtar,Kolkata Knight Riders,1,0,2,7,1,2,28.57142857,7,7
560,Shoaib Malik,Delhi Daredevils,5,1,52,46,4,13,113.0434783,9.2,11.5
561,Shubman Gill,Gujarat Titans/Kolkata Knight Riders,85,13,2750,2029,72,38.19444444,135.5347462,23.87058824,28.18055556
562,Sikandar Raza,Punjab Kings,7,2,139,98,5,27.8,141.8367347,14,19.6
563,Simarjeet Singh,Chennai Super Kings,3,2,7,8,1,7,87.5,2.666666667,8
564,Sohail Tanvir,Rajasthan Royals,5,2,36,28,3,12,128.5714286,5.6,9.333333333
565,Sunny Gupta,Delhi Daredevils,1,0,0,1,1,0,0,1,1
566,Sunny Singh,Kings XI Punjab,5,1,43,31,4,10.75,138.7096774,6.2,7.75
567,Swapnil Singh,Kings XI Punjab/Lucknow Super Giants,4,1,14,24,3,4.666666667,58.33333333,6,8
568,T Banton,Kolkata Knight Riders,2,0,18,20,2,9,90,10,10
569,T Henderson,Rajasthan Royals,2,0,11,15,2,5.5,73.33333333,7.5,7.5
570,T Kohli,Kings XI Punjab/Rajasthan Royals,3,0,11,19,3,3.666666667,57.89473684,6.333333333,6.333333333
571,T Natarajan,Sunrisers Hyderabad,2,2,3,5,0,3,60,2.5,inf
572,T Shamsi,Rajasthan Royals,1,1,2,4,0,2,50,4,inf
573,T Stubbs,Mumbai Indians,4,0,27,35,4,6.75,77.14285714,8.75,8.75
574,T Taibu,Kolkata Knight Riders,3,0,31,26,3,10.33333333,119.2307692,8.666666667,8.666666667
575,T Thushara,Chennai Super Kings,4,2,12,18,2,6,66.66666667,4.5,9
576,TA Boult,Rajasthan Royals/Mumbai Indians/Delhi Capitals/Kolkata Knight Riders/Delhi Daredevils,18,12,69,62,6,11.5,111.2903226,3.444444444,10.33333333
577,TD Paine,Pune Warriors,2,0,10,26,2,5,38.46153846,13,13
578,TG Southee,Rajasthan Royals/Royal Challengers Bangalore/Kolkata Knight Riders/Mumbai Indians,19,6,120,106,13,9.230769231,113.2075472,5.578947368,8.153846154
579,TH David,Mumbai Indians/Royal Challengers Bangalore,24,9,418,234,15,27.86666667,178.6324786,9.75,15.6
580,TK Curran,Rajasthan Royals/Delhi Capitals/Kolkata Knight Riders,10,5,127,107,5,25.4,118.6915888,10.7,21.4
581,TL Seifert,Delhi Capitals/Kolkata Knight Riders,3,0,26,23,3,8.666666667,113.0434783,7.666666667,7.666666667
582,TL Suman,Deccan Chargers/Pune Warriors/Mumbai Indians,39,7,676,573,32,21.125,117.9755672,14.69230769,17.90625
583,TM Dilshan,Delhi Daredevils/Royal Challengers Bangalore,49,7,1148,992,42,27.33333333,115.7258065,20.24489796,23.61904762
584,TM Head,Royal Challengers Bangalore,10,3,205,147,7,29.28571429,139.4557823,14.7,21
585,TM Srivastava,Kings XI Punjab,3,2,8,11,1,8,72.72727273,3.666666667,11
586,TR Birt,Delhi Daredevils,5,0,75,57,5,15,131.5789474,11.4,11.4
587,TS Mills,Mumbai Indians/Royal Challengers Bangalore,5,1,8,14,4,2,57.14285714,2.8,3.5
588,TU Deshpande,Delhi Capitals/Chennai Super Kings,3,2,21,13,1,21,161.5384615,4.333333333,13
589,Tilak Varma,Mumbai Indians,25,6,740,510,19,38.94736842,145.0980392,20.4,26.84210526
590,U Kaul,Kings XI Punjab,1,1,0,1,0,0,0,1,inf
591,UA Birla,Pune Warriors,1,0,7,14,1,7,50,14,14
592,UBT Chand,Delhi Daredevils/Mumbai Indians/Rajasthan Royals,20,0,300,299,20,15,100.3344482,14.95,14.95
593,UT Khawaja,Rising Pune Supergiants,6,0,127,99,6,21.16666667,128.2828283,16.5,16.5
594,UT Yadav,Kolkata Knight Riders/Delhi Daredevils/Royal Challengers Bangalore,46,26,196,186,20,9.8,105.3763441,4.043478261,9.3
595,Umar Gul,Kolkata Knight Riders,4,1,39,19,3,13,205.2631579,4.75,6.333333333
596,Umran Malik,Sunrisers Hyderabad,5,3,23,15,2,11.5,153.3333333,3,7.5
597,V Kohli,Royal Challengers Bangalore,223,33,7122,5450,190,37.48421053,130.6788991,24.43946188,28.68421053
598,V Pratap Singh,Deccan Chargers,1,0,0,1,1,0,0,1,1
599,V Sehwag,Delhi Daredevils/Kings XI Punjab,102,5,2702,1714,97,27.8556701,157.6429405,16.80392157,17.67010309
600,V Shankar,Delhi Daredevils/Sunrisers Hyderabad/Gujarat Titans,48,12,1005,751,36,27.91666667,133.8215712,15.64583333,20.86111111
601,VG Arora,Kolkata Knight Riders/Punjab Kings,6,4,8,15,2,4,53.33333333,2.5,7.5
602,VH Zol,Royal Challengers Bangalore,2,0,29,26,2,14.5,111.5384615,13,13
603,VR Aaron,Rajasthan Royals/Kings XI Punjab/Royal Challengers Bangalore/Delhi Daredevils,12,7,50,71,5,10,70.42253521,5.916666667,14.2
604,VR Iyer,Kolkata Knight Riders,36,2,956,733,34,28.11764706,130.4229195,20.36111111,21.55882353
605,VRV Singh,Kings XI Punjab,2,0,4,3,2,2,133.3333333,1.5,1.5
606,VS Malik,Kings XI Punjab/Rajasthan Royals,2,1,7,7,1,7,100,3.5,7
607,VS Yeligati,Mumbai Indians,1,0,2,2,1,2,100,2,2
608,VVS Laxman,Deccan Chargers/Kochi Tuskers Kerala,20,1,282,266,19,14.84210526,106.0150376,13.3,14
609,VY Mahesh,Delhi Daredevils,5,3,15,27,2,7.5,55.55555556,5.4,13.5
610,Vijaykumar Vyshak,Royal Challengers Bangalore,2,1,13,9,1,13,144.4444444,4.5,9
611,Virat Singh,Sunrisers Hyderabad,1,0,11,12,1,11,91.66666667,12,12
612,Vishnu Vinod,Mumbai Indians/Royal Challengers Bangalore,6,0,56,56,6,9.333333333,100,9.333333333,9.333333333
613,Vivrant Sharma,Sunrisers Hyderabad,1,0,69,47,1,69,146.8085106,47,47
614,W Jaffer,Royal Challengers Bangalore,8,0,130,121,8,16.25,107.4380165,15.125,15.125
615,WA Mota,Kings XI Punjab,8,2,56,75,6,9.333333333,74.66666667,9.375,12.5
