,Batter,Country,innings,total_runs,balls_faced,num_outs,batting_avg,strike_rate,bf_pi,bf_pw
374,Aung Ko Ko,Myanmar,2,2,8,1.0,2.0,25.0,4.0,8.0
375,Avesh Khan,India,3,10,7,1.0,10.0,142.85714285714286,2.3333333333333335,7.0
376,Avi Dixit,Singapore,7,46,50,6.0,7.666666666666667,92.0,7.142857142857143,8.333333333333334
377,Awais Ahmed,Spain,16,244,216,14.0,17.428571428571427,112.96296296296295,13.5,15.428571428571429
378,Awais Ikram,Slovenia,2,4,6,2.0,2.0,66.66666666666666,3.0,3.0
379,Awais Zia,Pakistan,5,70,80,5.0,14.0,87.5,16.0,16.0
380,Ayan Khan,Oman,9,124,120,9.0,13.777777777777779,103.33333333333334,13.333333333333334,13.333333333333334
381,Ayush Ummat,Estonia,1,0,5,1.0,0.0,0.0,5.0,5.0
382,Ayyaz Qureshi,Slovenia,4,55,72,4.0,13.75,76.38888888888889,18.0,18.0
383,Azam Khalil,Sweden,7,98,82,7.0,14.0,119.51219512195121,11.714285714285714,11.714285714285714
384,Azam Khan,Pakistan,4,7,13,3.0,2.3333333333333335,53.84615384615385,3.25,4.333333333333333
385,Azeem Nazir,Switzerland,2,36,41,2.0,18.0,87.8048780487805,20.5,20.5
386,Azhar Andani,Portugal,9,318,237,8.0,39.75,134.17721518987344,26.333333333333332,29.625
387,Aziz Mohammad,Belgium,5,114,82,5.0,22.8,139.02439024390242,16.4,16.4
388,Aziz Sualley,Ghana,2,4,2,1.0,4.0,200.0,1.0,2.0
389,Azmat Ali,Germany,1,17,20,1.0,17.0,85.0,20.0,20.0
390,Azmatullah Omarzai,Afghanistan,14,185,165,11.0,16.818181818181817,112.12121212121211,11.785714285714286,15.0
391,Azyan Farhath,Maldives,10,91,149,9.0,10.11111111111111,61.07382550335571,14.9,16.555555555555557
392,B Arora,Malta,32,633,652,26.0,24.346153846153847,97.08588957055214,20.375,25.076923076923077
393,B Bhandari,Nepal,23,294,258,16.0,18.375,113.95348837209302,11.217391304347826,16.125
394,B Dugic,Serbia,1,0,1,1.0,0.0,0.0,1.0,1.0
395,B Evans,Zimbabwe,5,41,40,4.0,10.25,102.49999999999999,8.0,10.0
396,B Fernando,Sri Lanka,3,30,28,1.0,30.0,107.14285714285714,9.333333333333334,28.0
397,B George,Malta,18,459,332,17.0,27.0,138.25301204819277,18.444444444444443,19.529411764705884
398,B Isaac,St Helena,1,2,11,1.0,2.0,18.181818181818183,11.0,11.0
399,B Ivanov,Bulgaria,1,10,17,0.0,10.0,58.82352941176471,17.0,inf
400,B Jerkovic,Croatia,4,27,58,1.0,27.0,46.55172413793103,14.5,58.0
401,B Kgosiemang,Botswana,3,10,25,1.0,10.0,40.0,8.333333333333334,25.0
402,B Khumalo,Botswana,4,6,11,2.0,3.0,54.54545454545454,2.75,5.5
403,B Kumar,India,18,67,93,8.0,8.375,72.04301075268818,5.166666666666667,11.625
404,B Lee,Australia,12,101,71,6.0,16.833333333333332,142.25352112676057,5.916666666666667,11.833333333333334
405,B Maphosa,Botswana,4,30,39,2.0,15.0,76.92307692307693,9.75,19.5
406,B Masaba,Uganda,25,283,280,18.0,15.722222222222221,101.07142857142857,11.2,15.555555555555555
407,B Mavuta,Zimbabwe,7,53,36,3.0,17.666666666666668,147.22222222222223,5.142857142857143,12.0
408,B Muzarabani,Zimbabwe,12,19,37,5.0,3.8,51.35135135135135,3.0833333333333335,7.4
409,B Niaz,Belgium,4,43,92,3.0,14.333333333333334,46.73913043478261,23.0,30.666666666666668
410,B Pondani,Malawi,1,0,3,0.0,0.0,0.0,3.0,inf
411,B Regmi,Nepal,7,19,49,6.0,3.1666666666666665,38.775510204081634,7.0,8.166666666666666
412,B Shikongo,Namibia,1,0,1,1.0,0.0,0.0,1.0,1.0
413,B Stanlake,Australia,2,9,12,1.0,9.0,75.0,6.0,12.0
414,B Vakatini,Cook Islands,2,5,8,2.0,2.5,62.5,4.0,4.0
415,B Ward,Jersey,23,440,348,16.0,27.5,126.4367816091954,15.130434782608695,21.75
416,B Wentzel,Guernsey,1,1,2,1.0,1.0,50.0,2.0,2.0
417,B White,Ireland,5,14,17,0.0,14.0,82.35294117647058,3.4,inf
418,B Yadav,Nepal,3,17,25,3.0,5.666666666666667,68.0,8.333333333333334,8.333333333333334
419,B Zuiderent,Netherlands,5,85,98,4.0,21.25,86.73469387755102,19.6,24.5
420,BA King,West Indies,37,966,745,34.0,28.41176470588235,129.66442953020135,20.135135135135137,21.91176470588235
421,BA Pai,Gibraltar,24,682,585,20.0,34.1,116.5811965811966,24.375,29.25
422,BA Parchment,West Indies,1,10,6,1.0,10.0,166.66666666666669,6.0,6.0
423,BA Simango,Mozambique,2,0,4,2.0,0.0,0.0,2.0,2.0
424,BA Stokes,England,35,568,446,27.0,21.037037037037038,127.3542600896861,12.742857142857142,16.51851851851852
425,BAA Zammitt,Gibraltar,3,10,25,3.0,3.3333333333333335,40.0,8.333333333333334,8.333333333333334
426,BAD Manenti,Italy,5,52,43,5.0,10.4,120.93023255813952,8.6,8.6
427,BAW Mendis,Sri Lanka,6,8,16,3.0,2.6666666666666665,50.0,2.6666666666666665,5.333333333333333
428,BB Chari,Zimbabwe,3,21,31,3.0,7.0,67.74193548387096,10.333333333333334,10.333333333333334
429,BB McCullum,New Zealand,62,1954,1434,53.0,36.867924528301884,136.26220362622036,23.129032258064516,27.056603773584907
430,BBJL Perera,Italy,12,272,248,11.0,24.727272727272727,109.6774193548387,20.666666666666668,22.545454545454547
431,BC Fortuin,South Africa,7,44,34,5.0,8.8,129.41176470588235,4.857142857142857,6.8
432,BC Sahin,Turkey,2,6,19,2.0,3.0,31.57894736842105,9.5,9.5
433,BCJ Cutting,Australia/ICC World XI,4,40,27,4.0,10.0,148.14814814814815,6.75,6.75
434,BD Glover,Netherlands,5,2,11,3.0,0.6666666666666666,18.181818181818183,2.2,3.6666666666666665
435,BDH Stevens,Jersey,12,199,200,12.0,16.583333333333332,99.5,16.666666666666668,16.666666666666668
436,BE Hendricks,South Africa,5,18,23,3.0,6.0,78.26086956521739,4.6,7.666666666666667
437,BFW de Leede,Netherlands,26,610,572,20.0,30.5,106.64335664335664,22.0,28.6
438,BG Lister,New Zealand,2,0,4,1.0,0.0,0.0,2.0,4.0
439,BJ Davidson,Serbia,3,9,19,3.0,3.0,47.368421052631575,6.333333333333333,6.333333333333333
440,BJ Dwarshuis,Australia,1,0,2,0.0,0.0,0.0,2.0,inf
441,BJ Haddin,Australia,25,326,288,20.0,16.3,113.19444444444444,11.52,14.4
442,BJ Hodge,Australia,8,133,96,4.0,33.25,138.54166666666669,12.0,24.0
443,BJ McCarthy,Ireland,25,271,205,16.0,16.9375,132.1951219512195,8.2,12.8125
444,BJ McMullen,Scotland,6,212,137,5.0,42.4,154.74452554744528,22.833333333333332,27.4
445,BJ Rohrer,Australia,1,16,14,1.0,16.0,114.28571428571428,14.0,14.0
446,BJ Watling,New Zealand,3,30,47,3.0,10.0,63.829787234042556,15.666666666666666,15.666666666666666
447,BK Stroud,St Helena,1,10,18,0.0,10.0,55.55555555555556,18.0,inf
448,BKB Corbin,Cayman Islands,3,37,29,3.0,12.333333333333334,127.58620689655173,9.666666666666666,9.666666666666666
449,BKG Mendis,Sri Lanka,53,1245,928,51.0,24.41176470588235,134.1594827586207,17.50943396226415,18.19607843137255
450,BLCS Kumara,Cyprus,2,3,7,2.0,1.5,42.857142857142854,3.5,3.5
451,BM Duckett,England,11,301,205,9.0,33.44444444444444,146.8292682926829,18.636363636363637,22.77777777777778
452,BM Scholtz,Namibia,8,23,39,2.0,11.5,58.97435897435898,4.875,19.5
453,BM Tickner,New Zealand,4,11,23,2.0,5.5,47.82608695652174,5.75,11.5
454,BM Wheeler,New Zealand,3,37,28,2.0,18.5,132.14285714285714,9.333333333333334,14.0
455,BMAJ Mendis,Sri Lanka,14,199,163,10.0,19.9,122.08588957055215,11.642857142857142,16.3
456,BN Cooper,Netherlands,48,1092,886,38.0,28.736842105263158,123.2505643340858,18.458333333333332,23.31578947368421
457,BN Toube,Cameroon,10,168,167,10.0,16.8,100.59880239520957,16.7,16.7
458,BOP Fernando,Sri Lanka,6,128,114,5.0,25.6,112.28070175438596,19.0,22.8
459,BP Adapaka,Hungary,3,2,3,0.0,2.0,66.66666666666666,1.0,inf
460,BR Dunk,Australia,5,99,68,5.0,19.8,145.58823529411765,13.6,13.6
461,BR McDermott,Australia,19,219,240,16.0,13.6875,91.25,12.631578947368421,15.0
462,BRM Taylor,Zimbabwe,42,850,738,36.0,23.61111111111111,115.17615176151762,17.571428571428573,20.5
463,BS Sandhu,Slovenia,1,2,5,1.0,2.0,40.0,5.0,5.0
464,BS Stephenson,Belize,6,75,67,5.0,15.0,111.94029850746267,11.166666666666666,13.4
465,BTJ Wheal,Scotland,4,5,8,1.0,5.0,62.5,2.0,8.0
466,BV Save,Malaysia,2,16,17,2.0,8.0,94.11764705882352,8.5,8.5
467,BV Vitori,Zimbabwe,2,8,7,0.0,8.0,114.28571428571428,3.5,inf
468,BW Hilfenhaus,Australia,3,2,10,2.0,1.0,20.0,3.3333333333333335,5.0
469,Babar Azam,Pakistan,97,3426,2667,84.0,40.785714285714285,128.45894263217096,27.49484536082474,31.75
470,Babar Hayat,Hong Kong,37,786,644,31.0,25.35483870967742,122.04968944099379,17.405405405405407,20.774193548387096
471,Bakhtiar Tahiri,Bulgaria,4,92,93,4.0,23.0,98.9247311827957,23.25,23.25
472,Baljinder Singh,Romania,1,6,7,1.0,6.0,85.71428571428571,7.0,7.0
473,Baljit Singh,Italy,6,58,52,5.0,11.6,111.53846153846155,8.666666666666666,10.4
474,Bashir Shah,Denmark,4,3,7,1.0,3.0,42.857142857142854,1.75,7.0
475,Basil Hameed,United Arab Emirates,26,306,269,21.0,14.571428571428571,113.75464684014871,10.346153846153847,12.80952380952381
476,Baz Aybui,Sweden,3,8,24,1.0,8.0,33.33333333333333,8.0,24.0
477,Bhumeshswar Jagroo,Bahamas,2,4,8,1.0,4.0,50.0,4.0,8.0
478,Bilal Aftab,Denmark,2,2,3,1.0,2.0,66.66666666666666,1.5,3.0
479,Bilal Hassun,Uganda,9,31,37,5.0,6.2,83.78378378378379,4.111111111111111,7.4
480,Bilal Khan,Oman,12,24,38,6.0,4.0,63.1578947368421,3.1666666666666665,6.333333333333333
481,Bilal Muhammad,Malta,13,159,83,9.0,17.666666666666668,191.56626506024097,6.384615384615385,9.222222222222221
482,Bilal Safdar,Norway,8,73,86,6.0,12.166666666666666,84.88372093023256,10.75,14.333333333333334
483,Bilal Tahir,Kuwait,16,204,144,11.0,18.545454545454547,141.66666666666669,9.0,13.090909090909092
484,Bilal Zalmai,Austria,3,51,40,3.0,17.0,127.49999999999999,13.333333333333334,13.333333333333334
485,Bilawal Bhatti,Pakistan,3,23,14,2.0,11.5,164.28571428571428,4.666666666666667,7.0
486,Bosco Tuyizere,Rwanda,9,91,115,8.0,11.375,79.13043478260869,12.777777777777779,14.375
487,C Bah,Sierra Leone,4,26,22,4.0,6.5,118.18181818181819,5.5,5.5
488,C Bayraktar,Turkey,3,26,34,3.0,8.666666666666666,76.47058823529412,11.333333333333334,11.333333333333334
489,C Bisson,Jersey,8,100,71,7.0,14.285714285714286,140.8450704225352,8.875,10.142857142857142
490,C Bogdanos,Greece,3,31,43,3.0,10.333333333333334,72.09302325581395,14.333333333333334,14.333333333333334
491,C Brennan,Jersey,7,78,84,7.0,11.142857142857142,92.85714285714286,12.0,12.0
492,C Brown,Belize,4,46,61,4.0,11.5,75.40983606557377,15.25,15.25
493,C Campher,Ireland,34,657,507,27.0,24.333333333333332,129.58579881656803,14.911764705882353,18.77777777777778
494,C Carter,Hong Kong,5,55,63,4.0,13.75,87.3015873015873,12.6,15.75
495,C Chatphaisan,Thailand,7,47,48,6.0,7.833333333333333,97.91666666666666,6.857142857142857,8.0
496,C Chete,Malawi,2,0,4,2.0,0.0,0.0,2.0,2.0
497,C Dickson,Cook Islands,4,58,61,4.0,14.5,95.08196721311475,15.25,15.25
498,C Floyd,Netherlands,3,24,24,1.0,24.0,100.0,8.0,24.0
499,C Forbes,Swaziland/Eswatini,10,135,152,10.0,13.5,88.81578947368422,15.2,15.2
500,C Green,Australia,8,139,80,8.0,17.375,173.75,10.0,10.0
501,C Hartmann,Isle of Man,14,185,175,9.0,20.555555555555557,105.71428571428572,12.5,19.444444444444443
502,C Hauptfleisch,Cayman Islands,5,69,84,5.0,13.8,82.14285714285714,16.8,16.8
503,C Jonker,South Africa,2,57,29,2.0,28.5,196.55172413793102,14.5,14.5
504,C Karunaratne,Sri Lanka,32,291,269,17.0,17.11764705882353,108.17843866171005,8.40625,15.823529411764707
505,C Kieswetter,England,23,512,440,22.0,23.272727272727273,116.36363636363636,19.130434782608695,20.0
506,C Kyewuta,Uganda,7,38,36,5.0,7.6,105.55555555555556,5.142857142857143,7.2
507,C Liebenberg,Isle of Man,1,1,1,1.0,1.0,100.0,1.0,1.0
508,C Madande,Zimbabwe,4,34,36,3.0,11.333333333333334,94.44444444444444,9.0,12.0
509,C Munoz-Mills,Spain,14,166,132,10.0,16.6,125.75757575757575,9.428571428571429,13.2
510,C Munro,New Zealand,56,1527,982,50.0,30.54,155.4989816700611,17.535714285714285,19.64
511,C Pengkumta,Thailand,9,50,90,7.0,7.142857142857143,55.55555555555556,10.0,12.857142857142858
512,C Rububagumya,Rwanda,29,286,346,26.0,11.0,82.65895953757226,11.931034482758621,13.307692307692308
513,C Rumistrzewicz,Spain,6,17,28,2.0,8.5,60.71428571428571,4.666666666666667,14.0
514,C Sakariya,India,1,5,9,0.0,5.0,55.55555555555556,9.0,inf
515,C Smith,Isle of Man,2,17,15,2.0,8.5,113.33333333333333,7.5,7.5
516,C Sudarsanan,Malta,6,24,39,3.0,8.0,61.53846153846154,6.5,13.0
517,C Tlali,Lesotho,10,155,156,10.0,15.5,99.35897435897436,15.6,15.6
518,C Tommy,Vanuatu,9,102,125,9.0,11.333333333333334,81.6,13.88888888888889,13.88888888888889
519,C Viljoen,Namibia,6,68,69,4.0,17.0,98.55072463768117,11.5,17.25
520,C Waiswa,Uganda,2,20,14,1.0,20.0,142.85714285714286,7.0,14.0
521,C Webster,Isle of Man,4,51,34,4.0,12.75,150.0,8.5,8.5
522,C Wright,Cayman Islands,8,40,51,5.0,8.0,78.43137254901961,6.375,10.2
523,C Zavoiu,Romania,6,19,33,4.0,4.75,57.57575757575758,5.5,8.25
524,C Zhuwao,Zimbabwe,4,36,41,4.0,9.0,87.8048780487805,10.25,10.25
525,C de Grandhomme,New Zealand,36,494,345,30.0,16.466666666666665,143.18840579710147,9.583333333333334,11.5
526,CA Ingram,South Africa,9,210,162,8.0,26.25,129.62962962962962,18.0,20.25
527,CA Keita,Mali,4,39,44,4.0,9.75,88.63636363636364,11.0,11.0
528,CA Lynn,Australia,15,278,207,14.0,19.857142857142858,134.29951690821255,13.8,14.785714285714286
