,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
77,A Shahzad,England,1,1,0,3,0,0,0,3,inf
78,A Sharafu,United Arab Emirates,5,1,37,37,4,9.25,100,7.4,9.25
79,A Sharma,United Arab Emirates,3,0,76,68,3,25.33333333,111.7647059,22.66666667,22.66666667
80,A Shreshta,Nigeria,16,2,314,315,14,22.42857143,99.68253968,19.6875,22.5
81,A Shukla,Hong Kong,2,0,1,6,2,0.5,16.66666667,3,3
82,A Symonds,Australia,11,4,337,198,7,48.14285714,170.2020202,18,28.28571429
83,A Turay,Sierra Leone,3,1,62,40,2,31,155,13.33333333,20
84,A Turkmen,Turkey,7,3,75,55,4,18.75,136.3636364,7.857142857,13.75
85,A Vala,Papua New Guinea,40,6,972,789,34,28.58823529,123.1939163,19.725,23.20588235
86,A Venkatesh,Sweden,15,2,260,239,13,20,108.7866109,15.93333333,18.38461538
87,A Wright,Cayman Islands,2,1,3,14,1,3,21.42857143,7,14
88,A Yon,St Helena,3,0,60,40,3,20,150,13.33333333,13.33333333
89,A Zampa,Australia,14,6,48,57,8,6,84.21052632,4.071428571,7.125
90,AA Banner,Belize,5,0,21,36,5,4.2,58.33333333,7.2,7.2
91,AA Gajic,Serbia,1,1,3,5,0,3,60,5,inf
92,AA Hussein,Tanzania,1,1,1,1,0,1,100,1,inf
93,AA Jasani,Tanzania,6,1,185,151,5,37,122.5165563,25.16666667,30.2
94,AA Navicha,Mozambique,6,1,49,81,5,9.8,60.49382716,13.5,16.2
95,AA Obanda,Kenya,39,3,684,567,36,19,120.6349206,14.53846154,15.75
96,AA Onikoyi,Nigeria,14,2,227,261,12,18.91666667,86.97318008,18.64285714,21.75
97,AAA Patel,Lesotho,7,0,68,81,7,9.714285714,83.95061728,11.57142857,11.57142857
98,AAP Rivero,Argentina,5,0,13,23,5,2.6,56.52173913,4.6,4.6
99,AAhan Achar,Singapore,2,2,2,2,0,2,100,1,inf
100,AB Agarkar,India,1,0,1,2,1,1,50,2,2
101,AB Barath,West Indies,2,0,23,39,2,11.5,58.97435897,19.5,19.5
102,AB Dinda,India,2,1,22,24,1,22,91.66666667,12,24
103,AB Kamara,Sierra Leone,6,2,37,53,4,9.25,69.81132075,8.833333333,13.25
104,AB Mengoumou,Cameroon,4,0,8,34,4,2,23.52941176,8.5,8.5
105,AB de Villiers,South Africa,70,9,1573,1179,61,25.78688525,133.418151,16.84285714,19.32786885
106,AC Agar,Australia,28,5,277,271,23,12.04347826,102.2140221,9.678571429,11.7826087
107,AC Botha,Ireland,7,1,75,83,6,12.5,90.36144578,11.85714286,13.83333333
108,AC Douglas,Bermuda,9,1,241,164,8,30.125,146.9512195,18.22222222,20.5
109,AC Evans,Scotland,8,0,10,17,8,1.25,58.82352941,2.125,2.125
110,AC Gilchrist,Australia,13,1,272,190,12,22.66666667,143.1578947,14.61538462,15.83333333
111,AC Voges,Australia,4,1,128,106,3,42.66666667,120.754717,26.5,35.33333333
112,ACF Stokes,Guernsey,6,1,23,38,5,4.6,60.52631579,6.333333333,7.6
113,ACL Richards,West Indies,1,0,10,15,1,10,66.66666667,15,15
114,AD Algar,Spain,1,1,12,20,0,12,60,20,inf
115,AD Hales,England,70,5,1909,1395,65,29.36923077,136.8458781,19.92857143,21.46153846
116,AD Mascarenhas,England,12,4,123,100,8,15.375,123,8.333333333,12.5
117,AD Mathews,Sri Lanka,59,16,1076,917,43,25.02325581,117.3391494,15.54237288,21.3255814
118,AD Poynter,Ireland,10,3,194,151,7,27.71428571,128.4768212,15.1,21.57142857
119,AD Russell,West Indies,50,17,708,439,33,21.45454545,161.2756264,8.78,13.3030303
120,ADL Stokoe,Isle of Man,1,0,4,9,1,4,44.44444444,9,9
121,ADS Fletcher,West Indies,48,4,912,818,44,20.72727273,111.4914425,17.04166667,18.59090909
122,AE Isesele,Nigeria,3,1,47,30,2,23.5,156.6666667,10,15
123,AE Paraam,Singapore,2,1,19,10,1,19,190,5,10
124,AF Buurman,Netherlands,2,0,0,4,2,0,0,2,2
125,AF Ifill,Cayman Islands,10,1,85,129,9,9.444444444,65.89147287,12.9,14.33333333
126,AF Milne,New Zealand,11,8,42,44,3,14,95.45454545,4,14.66666667
127,AG Cremer,Zimbabwe,16,3,68,102,13,5.230769231,66.66666667,6.375,7.846153846
128,AG Prince,South Africa,1,0,5,6,1,5,83.33333333,6,6
129,AG Weligamage,Hungary,10,4,101,91,6,16.83333333,110.989011,9.1,15.16666667
130,AJ Ayannaike,Nigeria,17,0,115,149,17,6.764705882,77.18120805,8.764705882,8.764705882
131,AJ Finch,Australia,96,11,2971,2067,85,34.95294118,143.7348815,21.53125,24.31764706
132,AJ Hall,South Africa,1,0,11,10,1,11,110,10,10
133,AJ Hosein,West Indies,16,9,153,126,7,21.85714286,121.4285714,7.875,18
134,AJ Jabiri,Tanzania,8,0,78,117,8,9.75,66.66666667,14.625,14.625
135,AJ McKay,New Zealand,1,0,0,1,1,0,0,1,1
