,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
706,DM Bravo,West Indies,21,3,389,358,18,21.61111111,108.6592179,17.04761905,19.88888889
707,DM Gondaria,Kenya,8,1,152,126,7,21.71428571,120.6349206,15.75,18
708,DM Nakrani,Uganda,34,11,654,501,23,28.43478261,130.5389222,14.73529412,21.7826087
709,DM Richards,West Indies,1,0,0,1,1,0,0,1,1
710,DM de Silva,Sri Lanka,36,3,702,590,33,21.27272727,118.9830508,16.38888889,17.87878788
711,DMW Rawlins,Bermuda,16,4,598,366,12,49.83333333,163.3879781,22.875,30.5
712,DNA Ankrah,Ghana,3,0,22,43,3,7.333333333,51.1627907,14.33333333,14.33333333
713,DO Christian,West Indies,1,0,0,2,1,0,0,2,2
714,DO Obuya,Kenya,7,0,84,121,7,12,69.4214876,17.28571429,17.28571429
715,DP Conway,New Zealand,34,8,1175,894,26,45.19230769,131.4317673,26.29411765,34.38461538
716,DP Hyatt,West Indies,5,1,64,54,4,16,118.5185185,10.8,13.5
717,DP Michael,Samoa,5,1,162,133,4,40.5,121.8045113,26.6,33.25
718,DP Nannes,Netherlands/Australia,4,2,22,18,2,11,122.2222222,4.5,9
719,DPMD Jayawardene,Sri Lanka,48,7,1291,978,41,31.48780488,132.00409,20.375,23.85365854
720,DR Brown,Scotland,1,0,1,5,1,1,20,5,5
721,DR Flynn,New Zealand,4,0,49,44,4,12.25,111.3636364,11,11
722,DR Hooper,Guernsey,9,3,82,103,6,13.66666667,79.61165049,11.44444444,17.16666667
723,DR Martyn,Australia,4,0,120,74,4,30,162.1621622,18.5,18.5
724,DR Patankar,Malta,8,0,89,83,8,11.125,107.2289157,10.375,10.375
725,DR Sams,Australia,7,3,106,62,4,26.5,170.9677419,8.857142857,15.5
726,DR Smith,West Indies,28,0,474,377,28,16.92857143,125.729443,13.46428571,13.46428571
727,DR Tuffey,New Zealand,2,1,5,5,1,5,100,2.5,5
728,DS Airee,Nepal,37,8,1062,790,29,36.62068966,134.4303797,21.35135135,27.24137931
729,DS Kulkarni,India,1,1,1,1,0,1,100,1,inf
730,DS Maraiwai,Fiji,5,0,71,61,5,14.2,116.3934426,12.2,12.2
731,DS Smith,West Indies,6,0,203,160,6,33.83333333,126.875,26.66666667,26.66666667
732,DS Vosloo,Malta,1,0,15,17,1,15,88.23529412,17,17
733,DT Christian,Australia,13,5,116,89,8,14.5,130.3370787,6.846153846,11.125
734,DT Johnston,Ireland,13,3,196,149,10,19.6,131.5436242,11.46153846,14.9
735,DT Tiripano,Zimbabwe,15,3,157,158,12,13.08333333,99.36708861,10.53333333,13.16666667
736,DV Macome,Mozambique,1,0,6,6,1,6,100,6,6
737,DV Varghese,Bulgaria,8,3,40,55,5,8,72.72727273,6.875,11
738,DW Steyn,South Africa,8,3,19,20,5,3.8,95,2.5,4
739,Danish Aziz,Pakistan,2,0,37,35,2,18.5,105.7142857,17.5,17.5
740,Danish Jasnaik,Bahrain,3,0,6,13,3,2,46.15384615,4.333333333,4.333333333
741,Danyal Raja,Bulgaria,1,0,19,12,1,19,158.3333333,12,12
742,Darwish Rasooli,Afghanistan,5,1,49,56,4,12.25,87.5,11.2,14
743,Dawlat Zadran,Afghanistan,13,4,68,42,9,7.555555556,161.9047619,3.230769231,4.666666667
744,Dawood Ahmadzai,France,6,2,24,58,4,6,41.37931034,9.666666667,14.5
745,Delawar Khan,Denmark,11,3,141,109,8,17.625,129.3577982,9.909090909,13.625
746,Deng Jinqi,China,1,1,8,14,0,8,57.14285714,14,inf
747,Devender Singh,Ghana,15,6,228,191,9,25.33333333,119.3717277,12.73333333,21.22222222
748,Dharmang Patel,Qatar,1,0,17,28,1,17,60.71428571,28,28
749,Dhiman Ghosh,Bangladesh,1,0,1,2,1,1,50,2,2
750,Dipanjan Dey,Sweden,5,2,124,92,3,41.33333333,134.7826087,18.4,30.66666667
751,Divyendra Singh,Czech Republic,5,0,42,49,5,8.4,85.71428571,9.8,9.8
752,Dylan Steyn,Czech Republic,14,0,460,342,14,32.85714286,134.502924,24.42857143,24.42857143
753,E Chigumbura,Zimbabwe,50,9,796,561,41,19.41463415,141.8894831,11.22,13.68292683
754,E Dusingizimana,Rwanda,28,2,565,475,26,21.73076923,118.9473684,16.96428571,18.26923077
755,E Ernest,Sierra Leone,6,1,23,44,5,4.6,52.27272727,7.333333333,8.8
756,E Hasahya,Uganda,4,0,16,24,4,4,66.66666667,6,6
757,E Haven,Bahamas,4,1,14,44,3,4.666666667,31.81818182,11,14.66666667
758,E Isaneez,Uganda,2,2,8,13,0,8,61.53846154,6.5,inf
759,E Jabarkhel,Luxembourg,7,2,41,43,5,8.2,95.34883721,6.142857143,8.6
760,E Kahamker,Israel,3,0,47,39,3,15.66666667,120.5128205,13,13
761,E Karimi,Denmark,1,0,2,5,1,2,40,5,5
762,E Kubwimana,Rwanda,3,1,3,5,2,1.5,60,1.666666667,2.5
763,E Kuyumcu,Turkey,3,0,17,47,3,5.666666667,36.17021277,15.66666667,15.66666667
764,E Lewis,West Indies,49,1,1450,944,48,30.20833333,153.6016949,19.26530612,19.66666667
765,E Mathew,Malta,9,2,56,68,7,8,82.35294118,7.555555556,9.714285714
766,E Niyomugabo,Rwanda,27,2,235,248,25,9.4,94.75806452,9.185185185,9.92
767,E Ochieng,Kenya,3,1,18,19,2,9,94.73684211,6.333333333,9.5
768,E Otieno,Kenya,11,4,24,47,7,3.428571429,51.06382979,4.272727273,6.714285714
769,E Packard,Gibraltar,6,0,47,68,6,7.833333333,69.11764706,11.33333333,11.33333333
770,E Rukiriza,Rwanda,8,2,23,54,6,3.833333333,42.59259259,6.75,9
771,E Samson,Israel,2,1,3,3,1,3,100,1.5,3
772,E Schiferli,Netherlands,2,1,7,13,1,7,53.84615385,6.5,13
773,E Sebareme,Rwanda,19,4,180,166,15,12,108.4337349,8.736842105,11.06666667
774,E Solomon,Israel,3,0,87,84,3,29,103.5714286,28,28
775,E Ul Haq,Norway,9,0,70,109,9,7.777777778,64.22018349,12.11111111,12.11111111
776,E Walker,Isle of Man,4,4,3,19,0,3,15.78947368,4.75,inf
777,EB Knowles,Czech Republic,4,0,50,55,4,12.5,90.90909091,13.75,13.75
778,EB Ringera,Kenya,6,1,9,18,5,1.8,50,3,3.6
779,EC Joyce,Ireland/England,13,3,347,368,10,34.7,94.29347826,28.30769231,36.8
780,EC Rainsford,Zimbabwe,1,1,1,2,0,1,50,2,inf
781,ED Silva,Kuwait,7,0,166,89,7,23.71428571,186.5168539,12.71428571,12.71428571
782,EF Beard,Isle of Man,9,3,150,122,6,25,122.9508197,13.55555556,20.33333333
783,EH Hutchinson,United States of America,1,0,16,8,1,16,200,8,8
784,EHSN Silva,United Arab Emirates,2,1,16,22,1,16,72.72727273,11,22
785,EJB Miles,Jersey,7,3,20,26,4,5,76.92307692,3.714285714,6.5
786,EJG Morgan,England,100,20,2296,1679,80,28.7,136.7480643,16.79,20.9875
787,EMDY Munaweera,Sri Lanka,12,0,211,160,12,17.58333333,131.875,13.33333333,13.33333333
788,EP Thompson,New Zealand,1,1,1,1,0,1,100,1,inf
789,ES Szwarczynski,Netherlands,9,1,141,156,8,17.625,90.38461538,17.33333333,19.5
790,Ehsan Khan,Hong Kong,21,11,195,156,10,19.5,125,7.428571429,15.6
791,Ehsan Nawaz,Hong Kong,1,0,0,2,1,0,0,2,2
792,Elias Hasan,Estonia,2,0,12,16,2,6,75,8,8
793,Elias Sunny,Bangladesh,2,0,6,4,2,3,150,2,2
794,Emran Shahbakhsh,Iran,1,1,2,2,0,2,100,2,inf
795,Eric Phiri,Eswatini,2,0,7,12,2,3.5,58.33333333,6,6
796,F Achelam,Uganda,12,5,56,71,7,8,78.87323944,5.916666667,10.14285714
797,F Akankwasa,Uganda,17,5,114,115,12,9.5,99.13043478,6.764705882,9.583333333
798,F Baleri,Ghana,4,0,42,60,4,10.5,70,15,15
799,F Banunaek,Indonesia,2,0,4,14,2,2,28.57142857,7,7
800,F Behardien,South Africa,29,14,513,399,15,34.2,128.5714286,13.75862069,26.6
801,F Campbell,Gambia,4,0,34,50,4,8.5,68,12.5,12.5
802,F Choudary,Sweden,1,1,0,1,0,0,0,1,inf
803,F Clarke,Isle of Man,4,1,12,25,3,4,48,6.25,8.333333333
804,F Damiao Couana,Mozambique,13,0,433,314,13,33.30769231,137.8980892,24.15384615,24.15384615
805,F Hand,Ireland,8,2,59,42,6,9.833333333,140.4761905,5.25,7
806,F Mutizwa,Zimbabwe,3,0,38,36,3,12.66666667,105.5555556,12,12
807,F Nsubuga,Uganda,15,2,138,124,13,10.61538462,111.2903226,8.266666667,9.538461538
808,F Stoman,Portugal,9,2,95,125,7,13.57142857,76,13.88888889,17.85714286
809,F Suluoto,Samoa,5,0,49,51,5,9.8,96.07843137,10.2,10.2
810,F Thorpe,Gambia,1,0,0,1,1,0,0,1,1
811,F du Plessis,ICC World XI/South Africa,48,7,1494,1100,41,36.43902439,135.8181818,22.91666667,26.82926829
812,FA Allen,West Indies,24,8,267,195,16,16.6875,136.9230769,8.125,12.1875
813,FA Cossa,Mozambique,11,4,216,177,7,30.85714286,122.0338983,16.09090909,25.28571429
814,FA Klokker,Denmark,6,4,48,45,2,24,106.6666667,7.5,22.5
815,FE Carava,Mozambique,5,0,29,63,5,5.8,46.03174603,12.6,12.6
816,FH Allen,New Zealand,27,0,613,377,27,22.7037037,162.5994695,13.96296296,13.96296296
817,FH Edwards,West Indies,5,4,10,12,1,10,83.33333333,2.4,12
818,FJ Klaassen,Netherlands,13,4,32,37,9,3.555555556,86.48648649,2.846153846,4.111111111
819,FJ Mpegna,Cameroon,5,2,18,32,3,6,56.25,6.4,10.66666667
820,FL Patel,Panama,3,0,32,32,3,10.66666667,100,10.66666667,10.66666667
821,FL Reifer,West Indies,1,0,22,20,1,22,110,20,20
822,FN Walsh,Philippines,1,1,1,2,0,1,50,2,inf
823,Fahad Tariq,United Arab Emirates,4,0,19,24,4,4.75,79.16666667,6,6
824,Faheem Ashraf,Pakistan,33,8,311,240,25,12.44,129.5833333,7.272727273,9.6
825,Faheem Nazir,Switzerland,10,2,516,328,8,64.5,157.3170732,32.8,41
826,Faheem Nellancheri,Finland,2,0,7,8,2,3.5,87.5,4,4
827,Faisal Javed,Qatar,4,0,54,26,4,13.5,207.6923077,6.5,6.5
828,Faisal Khan,Saudi Arabia,10,1,180,116,9,20,155.1724138,11.6,12.88888889
829,Faisal Mehmood,Belgium,2,0,33,25,2,16.5,132,12.5,12.5
830,Faisal Mubashir,Germany,17,6,365,361,11,33.18181818,101.1080332,21.23529412,32.81818182
831,Faizan Asif,United Arab Emirates,6,0,80,64,6,13.33333333,125,10.66666667,10.66666667
832,Faizan Mumtaz,Norway,3,0,6,15,3,2,40,5,5
833,Fakhar Zaman,Pakistan,68,3,1433,1110,65,22.04615385,129.0990991,16.32352941,17.07692308
834,Fakhrul Mohon,Portugal,2,0,8,9,2,4,88.88888889,4.5,4.5
835,Fanyan Mughal,Malta,19,2,274,247,17,16.11764706,110.9311741,13,14.52941176
836,Fareed Ahmad,Afghanistan,4,3,32,33,1,32,96.96969697,8.25,33
837,Farhad Reza,Bangladesh,8,0,65,80,8,8.125,81.25,10,10
838,Farhan Ahmed,United Arab Emirates,1,0,4,8,1,4,50,8,8
839,Farzan Afzal,Spain,4,1,121,115,3,40.33333333,105.2173913,28.75,38.33333333
840,Fawad Ahmed,Australia,1,1,3,4,0,3,75,4,inf
841,Fawad Alam,Pakistan,16,5,189,166,11,17.18181818,113.8554217,10.375,15.09090909
842,Fayaz Khan,Germany,6,2,39,30,4,9.75,130,5,7.5
843,Fayaz Mohammad,Bulgaria,3,0,21,17,3,7,123.5294118,5.666666667,5.666666667
844,Fayyaz Ahmed,United Arab Emirates,1,0,11,12,1,11,91.66666667,12,12
845,Fayyaz Butt,Oman,10,4,83,88,6,13.83333333,94.31818182,8.8,14.66666667
846,Fazal Niazai,Afghanistan,1,0,12,14,1,12,85.71428571,14,14
847,Fazalhaq Farooqi,Afghanistan,2,1,1,4,1,1,25,2,4
848,Fazil Rahman,Malta,5,2,7,15,3,2.333333333,46.66666667,3,5
849,Festus Benn,Bahamas,4,2,29,48,2,14.5,60.41666667,12,24
850,Fiaz Ahmed,Bahrain,4,1,48,41,3,16,117.0731707,10.25,13.66666667
851,Fitri Sham,Malaysia,17,5,109,111,12,9.083333333,98.1981982,6.529411765,9.25
852,G Axtell,Bahrain,1,1,0,2,0,0,0,2,inf
853,G Bakiweyem,Ghana,5,3,31,38,2,15.5,81.57894737,7.6,19
854,G Burrows,Isle of Man,11,3,303,241,8,37.875,125.7261411,21.90909091,30.125
855,G Chaturvedi,Malta,8,0,85,84,8,10.625,101.1904762,10.5,10.5
856,G Chohan,Philippines,6,2,45,55,4,11.25,81.81818182,9.166666667,13.75
857,G Fatouros,Greece,3,0,69,54,3,23,127.7777778,18,18
858,G Gambhir,India,35,2,932,776,33,28.24242424,120.1030928,22.17142857,23.51515152
859,G Goudie,Scotland,2,0,2,4,2,1,50,2,2
860,G Irvin,Bahamas,1,0,4,13,1,4,30.76923077,13,13
861,G Johnson,St Helena,1,1,2,9,0,2,22.22222222,9,inf
862,G Kaltongga,Vanuatu,2,0,10,12,2,5,83.33333333,6,6
863,G Kansonkho,Malawi,6,1,86,109,5,17.2,78.89908257,18.16666667,21.8
864,G Malla,Nepal,34,1,800,644,33,24.24242424,124.2236025,18.94117647,19.51515152
865,G Manan,Romania,9,0,125,72,9,13.88888889,173.6111111,8,8
866,G Mckeon,France,10,1,542,336,9,60.22222222,161.3095238,33.6,37.33333333
867,G Ngegba,Sierra Leone,6,1,95,85,5,19,111.7647059,14.16666667,17
868,G Riley,Gambia,2,0,3,18,2,1.5,16.66666667,9,9
869,G Schachat,Israel,2,1,90,74,1,90,121.6216216,37,74
870,G Sesay,Sierra Leone,11,2,77,123,9,8.555555556,62.60162602,11.18181818,13.66666667
871,G Singh,United States of America,7,1,163,126,6,27.16666667,129.3650794,18,21
872,G Stewart,Italy,13,0,360,219,13,27.69230769,164.3835616,16.84615385,16.84615385
873,G Thakur,Malta,8,1,206,152,7,29.42857143,135.5263158,19,21.71428571
874,G Venkateswaran,Luxembourg,10,0,102,111,10,10.2,91.89189189,11.1,11.1
875,G Wijekoon,Sri Lanka,2,1,1,5,1,1,20,2.5,5
876,GA Lamb,Zimbabwe,4,2,32,54,2,16,59.25925926,13.5,27
877,GA Priandana,Indonesia,6,1,146,143,5,29.2,102.0979021,23.83333333,28.6
878,GA Rogers,Scotland,1,1,1,3,0,1,33.33333333,3,inf
879,GB Hogg,Australia,3,0,52,36,3,17.33333333,144.4444444,12,12
880,GC Galanis,Greece,5,3,39,23,2,19.5,169.5652174,4.6,11.5
881,GC Smith,South Africa,32,1,911,727,31,29.38709677,125.3094911,22.71875,23.4516129
882,GC Wilson,Ireland,56,7,977,944,49,19.93877551,103.4957627,16.85714286,19.26530612
883,GD Drummond,Scotland,3,0,38,48,3,12.66666667,79.16666667,16,16
884,GD Elliott,ICC World XI/New Zealand,15,4,171,157,11,15.54545455,108.9171975,10.46666667,14.27272727
885,GD McGrath,Australia,1,0,5,12,1,5,41.66666667,12,12
886,GD Phillips,New Zealand,50,8,1321,910,42,31.45238095,145.1648352,18.2,21.66666667
887,GDR Eranga,Canada,1,0,1,1,1,1,100,1,1
888,GE Mathurin,West Indies,2,2,4,5,0,4,80,2.5,inf
889,GEF Barnett,Canada,2,0,66,48,2,33,137.5,24,24
890,GF Gomes,Mozambique,1,0,0,1,1,0,0,1,1
891,GF Linde,South Africa,11,1,111,85,10,11.1,130.5882353,7.727272727,8.5
892,GG Alta,Turkey,4,0,56,72,4,14,77.77777778,18,18
893,GG Banner,Belize,6,0,43,56,6,7.166666667,76.78571429,9.333333333,9.333333333
894,GH Bodi,South Africa,1,0,8,25,1,8,32,25,25
895,GH Dockrell,Ireland,73,27,896,677,46,19.47826087,132.3485968,9.273972603,14.7173913
896,GH O'Brien,Bermuda,3,2,18,25,1,18,72,8.333333333,25
897,GH Smit,Guernsey,3,0,62,56,3,20.66666667,110.7142857,18.66666667,18.66666667
898,GH Worker,New Zealand,2,0,90,64,2,45,140.625,32,32
899,GHS Garton,England,1,0,2,4,1,2,50,4,4
900,GI Hume,Ireland,2,1,21,18,1,21,116.6666667,9,18
901,GJ Bailey,Australia/ICC World XI,22,7,407,288,15,27.13333333,141.3194444,13.09090909,19.2
902,GJ Batty,England,1,0,4,7,1,4,57.14285714,7,7
903,GJ Delany,Ireland,49,9,735,582,40,18.375,126.2886598,11.87755102,14.55
904,GJ Hopkins,New Zealand,7,0,50,54,7,7.142857143,92.59259259,7.714285714,7.714285714
905,GJ Maxwell,Australia,82,12,1975,1312,70,28.21428571,150.5335366,16,18.74285714
906,GJ Snyman,South Africa,1,0,2,6,1,2,33.33333333,6,6
907,GJ Thompson,Ireland,7,1,75,78,6,12.5,96.15384615,11.14285714,13
908,GJP Kruger,South Africa,1,0,3,5,1,3,60,5,5
909,GK Berg,Italy,11,3,141,116,8,17.625,121.5517241,10.54545455,14.5
910,GK Ghalley,Bhutan,9,2,94,118,7,13.42857143,79.66101695,13.11111111,16.85714286
911,GL Cloete,South Africa,2,0,15,15,2,7.5,100,7.5,7.5
912,GM Hamilton,Scotland,4,0,19,24,4,4.75,79.16666667,6,6
913,GM Muthui,Kenya,1,0,2,3,1,2,66.66666667,3,3
914,GM Ntambalika,Malawi,5,0,77,65,5,15.4,118.4615385,13,13
915,GM Strydom,Cayman Islands,6,0,97,89,6,16.16666667,108.988764,14.83333333,14.83333333
916,GO Jones,England,2,1,33,24,1,33,137.5,12,24
917,GO Sopinho,Mozambique,1,0,0,1,1,0,0,1,1
918,GP Meade,Italy,22,5,298,289,17,17.52941176,103.1141869,13.13636364,17
919,GP Swann,England,14,9,97,83,5,19.4,116.8674699,5.928571429,16.6
920,GR Adair,Ireland,7,0,143,104,7,20.42857143,137.5,14.85714286,14.85714286
921,GR Russ,Philippines,9,3,106,132,6,17.66666667,80.3030303,14.66666667,22
922,GRD Munasinghe,Italy,3,0,1,10,3,0.333333333,10,3.333333333,3.333333333
923,GS Ballance,Zimbabwe,1,0,30,29,1,30,103.4482759,29,29
924,GSNFG Jayasuriya,Sri Lanka,16,0,241,221,16,15.0625,109.0497738,13.8125,13.8125
925,GT Main,Scotland,1,1,12,14,0,12,85.71428571,14,inf
926,GT Taylor,Bahamas,9,0,74,118,9,8.222222222,62.71186441,13.11111111,13.11111111
927,Gagandeep Singh,Ghana/Bulgaria,3,3,12,11,0,12,109.0909091,3.666666667,inf
928,Garret Banner,Belize,5,2,71,68,3,23.66666667,104.4117647,13.6,22.66666667
929,Gaurav Mishra,Romania,6,2,70,61,4,17.5,114.7540984,10.16666667,15.25
930,Gayan Munaweera,Qatar,5,3,27,21,2,13.5,128.5714286,4.2,10.5
931,Gershon Yusuf,Nigeria,1,0,0,1,1,0,0,1,1
932,Ghulam Ahmadi,Germany,8,7,33,29,1,33,113.7931034,3.625,29
933,Ghulam Shabber,United Arab Emirates,12,3,172,153,9,19.11111111,112.4183007,12.75,17
934,Gulbadin Naib,Afghanistan,44,11,587,490,33,17.78787879,119.7959184,11.13636364,14.84848485
935,Gurdeep Singh,Kenya,8,0,145,150,8,18.125,96.66666667,18.75,18.75
936,Gurpratap Singh,Cyprus,10,0,187,133,10,18.7,140.6015038,13.3,13.3
937,Gurpreet Singh,Italy,2,0,17,14,2,8.5,121.4285714,7,7
938,H Carlyon,Jersey,21,0,321,327,21,15.28571429,98.16513761,15.57142857,15.57142857
939,H Davids,South Africa,9,0,161,134,9,17.88888889,120.1492537,14.88888889,14.88888889
940,H Fennell,Argentina,5,1,15,21,4,3.75,71.42857143,4.2,5.25
941,H Gori,Czech Republic,1,0,0,3,1,0,0,3,3
942,H Hajnic,Croatia,3,1,3,41,2,1.5,7.317073171,13.66666667,20.5
943,H Hiri,Papua New Guinea,5,2,56,40,3,18.66666667,140,8,13.33333333
944,H Isorena,Philippines,2,0,9,21,2,4.5,42.85714286,10.5,10.5
945,H Ivanov,Bulgaria,2,0,14,16,2,7,87.5,8,8
946,H Klaasen,South Africa,37,7,710,477,30,23.66666667,148.8469602,12.89189189,15.9
947,H Lakov,Bulgaria,20,4,455,447,16,28.4375,101.7897092,22.35,27.9375
948,H Lin Aung,Myanmar,4,0,16,33,4,4,48.48484848,8.25,8.25
949,H Lin Oo,Myanmar,4,3,13,30,1,13,43.33333333,7.5,30
950,H Masakadza,Zimbabwe,59,2,1450,1262,57,25.43859649,114.8969889,21.38983051,22.14035088
951,H Osinde,Canada,4,1,28,26,3,9.333333333,107.6923077,6.5,8.666666667
952,H Patel,Canada,10,0,172,182,10,17.2,94.50549451,18.2,18.2
953,H Pragji,Botswana,4,1,38,65,3,12.66666667,58.46153846,16.25,21.66666667
954,H Rashid,Eswatini,5,1,37,47,4,9.25,78.72340426,9.4,11.75
955,H Singh,Germany,23,3,335,287,20,16.75,116.7247387,12.47826087,14.35
956,H Srinivasan,Germany,3,1,20,36,2,10,55.55555556,12,18
957,H Ssenyondo,Uganda,9,4,22,42,5,4.4,52.38095238,4.666666667,8.4
958,H Thaker,Canada,9,3,129,91,6,21.5,141.7582418,10.11111111,15.16666667
959,HA Chohan,Tanzania,13,4,78,48,9,8.666666667,162.5,3.692307692,5.333333333
960,HA Jackson,France,17,1,237,253,16,14.8125,93.67588933,14.88235294,15.8125
961,HA Varaiya,Kenya,6,5,41,68,1,41,60.29411765,11.33333333,68
962,HAM Shah,Denmark,20,1,596,527,19,31.36842105,113.0929791,26.35,27.73684211
963,HB Dickson,Cook Islands,2,0,51,39,2,25.5,130.7692308,19.5,19.5
964,HB Kayondo,Uganda,4,0,104,98,4,26,106.122449,24.5,24.5
965,HB Shipley,New Zealand,1,1,1,1,0,1,100,1,inf
966,HC Brook,England,17,3,372,269,14,26.57142857,138.2899628,15.82352941,19.21428571
967,HD Rutherford,New Zealand,7,0,151,105,7,21.57142857,143.8095238,15,15
968,HDRL Thirimanne,Sri Lanka,18,2,266,245,16,16.625,108.5714286,13.61111111,15.3125
969,HE van der Dussen,South Africa,36,8,1010,778,28,36.07142857,129.8200514,21.61111111,27.78571429
970,HER Tyler,Philippines,6,0,46,64,6,7.666666667,71.875,10.66666667,10.66666667
971,HG Kuhn,South Africa,6,2,49,42,4,12.25,116.6666667,7,10.5
972,HG Munsey,Scotland,57,4,1612,1123,53,30.41509434,143.5440784,19.70175439,21.18867925
973,HGV Vare,Papua New Guinea,7,1,37,42,6,6.166666667,88.0952381,6,7
974,HH Dippenaar,South Africa,1,0,1,5,1,1,20,5,5
975,HH Gibbs,South Africa,23,1,400,315,22,18.18181818,126.984127,13.69565217,14.31818182
976,HH Pandya,India,69,17,1299,920,52,24.98076923,141.1956522,13.33333333,17.69230769
977,HJ Jordaan,Thailand,8,1,166,208,7,23.71428571,79.80769231,26,29.71428571
978,HJ Manenti,Italy,8,0,96,79,8,12,121.5189873,9.875,9.875
979,HJ Patel,Panama,2,0,25,25,2,12.5,100,12.5,12.5
980,HJH Marshall,New Zealand,2,0,11,10,2,5.5,110,5,5
981,HK Bennett,New Zealand,1,1,1,2,0,1,50,2,inf
982,HL Harji,Seychelles,3,0,1,11,3,0.333333333,9.090909091,3.666666667,3.666666667
983,HM Amla,ICC World XI/South Africa,40,5,1110,833,35,31.71428571,133.2533013,20.825,23.8
984,HM Nicholls,New Zealand,9,1,100,112,8,12.5,89.28571429,12.44444444,14
985,HMCM Bandara,Sri Lanka,3,1,12,15,2,6,80,5,7.5
986,HMRKB Herath,Sri Lanka,4,1,7,11,3,2.333333333,63.63636364,2.75,3.666666667
987,HN Ya France,Namibia,9,2,32,37,7,4.571428571,86.48648649,4.111111111,5.285714286
988,HR Walsh,West Indies/United States of America,14,6,119,123,8,14.875,96.74796748,8.785714286,15.375
989,HS Baidwan,Canada,6,1,52,44,5,10.4,118.1818182,7.333333333,8.8
990,HS Gericke,Malta,16,0,387,237,16,24.1875,163.2911392,14.8125,14.8125
991,HT Tector,Ireland,56,10,983,819,46,21.36956522,120.02442,14.625,17.80434783
992,HV Mandhyan,Hungary,13,1,193,183,12,16.08333333,105.4644809,14.07692308,15.25
993,HV Patel,India,10,4,77,57,6,12.83333333,135.0877193,5.7,9.5
994,Habib Ahmadzai,Austria,7,1,103,100,6,17.16666667,103,14.28571429,16.66666667
995,Habib Khan,Estonia,8,0,150,141,8,18.75,106.3829787,17.625,17.625
996,Hadisullah Tarakhel,Belgium,5,1,154,84,4,38.5,183.3333333,16.8,21
997,Hafiz Qaleem,United Arab Emirates,1,0,2,4,1,2,50,4,4
998,Haider Ali,Pakistan,30,3,499,393,27,18.48148148,126.9720102,13.1,14.55555556
999,Haider Butt,Bahrain,24,4,470,387,20,23.5,121.4470284,16.125,19.35
1000,Hamed Khan,Hong Kong,3,0,15,19,3,5,78.94736842,6.333333333,6.333333333
1001,Hamid Hassan,Afghanistan,8,6,48,43,2,24,111.627907,5.375,21.5
1002,Hamid Mahmood,Sweden,8,2,189,186,6,31.5,101.6129032,23.25,31
1003,Hammad Azam,Pakistan,4,1,34,34,3,11.33333333,100,8.5,11.33333333
1004,Hamza Dar,Spain,13,3,270,237,10,27,113.9240506,18.23076923,23.7
1005,Hamza Tahir,Scotland,1,1,3,6,0,3,50,6,inf
1006,Hamza Tariq,Canada,17,6,196,136,11,17.81818182,144.1176471,8,12.36363636
1007,Harbhajan Singh,India,11,4,107,83,7,15.28571429,128.9156627,7.545454545,11.85714286
1008,Haris Rauf,Pakistan,15,5,67,47,10,6.7,142.5531915,3.133333333,4.7
1009,Haris Sohail,Pakistan,12,2,206,198,10,20.6,104.040404,16.5,19.8
1010,Haroon Arshad,Hong Kong,20,5,311,226,15,20.73333333,137.6106195,11.3,15.06666667
1011,Haroon Mughal,Malta,3,0,3,8,3,1,37.5,2.666666667,2.666666667
1012,Haroon Shahid,Kuwait,1,0,7,3,1,7,233.3333333,3,3
1013,Hasan Ali,Pakistan,17,8,129,66,9,14.33333333,195.4545455,3.882352941,7.333333333
1014,Hasan Cakir,Turkey,1,0,0,2,1,0,0,2,2
1015,Hasan Mahmud,Bangladesh,6,4,7,15,2,3.5,46.66666667,2.5,7.5
1016,Haseeb Amjad,Hong Kong,9,5,45,45,4,11.25,100,5,11.25
1017,Haseeb Ghafoor,Saudi Arabia,6,3,118,107,3,39.33333333,110.2803738,17.83333333,35.66666667
1018,Hashmatullah Shahidi,Afghanistan,3,1,48,55,2,24,87.27272727,18.33333333,27.5
1019,Hassan Mehmood,Sweden,4,2,23,30,2,11.5,76.66666667,7.5,15
1020,Hassan Rasheed,Maldives,8,0,112,106,8,14,105.6603774,13.25,13.25
1021,Hayatullah Niazi,Norway,3,0,43,41,3,14.33333333,104.8780488,13.66666667,13.66666667
1022,Hazratullah,Afghanistan,38,3,1007,753,35,28.77142857,133.7317397,19.81578947,21.51428571
1023,Hilal Ahmad,Czech Republic,5,2,51,74,3,17,68.91891892,14.8,24.66666667
1024,Hisham Sheikh,Saudi Arabia,7,1,127,140,6,21.16666667,90.71428571,20,23.33333333
1025,Humayun Kabir,Sweden,2,0,9,16,2,4.5,56.25,8,8
1026,Husnain Kabeer,Germany,1,0,5,6,1,5,83.33333333,6,6
1027,Hussain Talat,Pakistan,17,1,394,332,16,24.625,118.6746988,19.52941176,20.75
1028,Huzaifa Mohammed,Philippines,5,3,42,59,2,21,71.18644068,11.8,29.5
1029,Hwanhee Lee,South Korea,1,0,3,6,1,3,50,6,6
1030,I Asif,Austria,1,0,3,3,1,3,100,3,3
1031,I Bardis,Greece,2,1,2,6,1,2,33.33333333,3,6
