,Bowler,Bowler Team(s),Matches Bowled In,Total Wickets,Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
109,D du Preez,Royal Challengers Bangalore,2,4,42,56,14,8,10.5,21,2
110,DA Warner,Sunrisers Hyderabad,1,0,1,2,0,12,0,1,0
111,DAJ Bracewell,Delhi Daredevils,1,3,24,32,10.66666667,8,8,24,3
112,DB Ravi Teja,Deccan Chargers,2,1,18,28,28,9.333333333,18,9,0.5
113,DE Bollinger,Chennai Super Kings,27,35,576,693,19.8,7.21875,16.45714286,21.33333333,1.296296296
114,DG Nalkande,Gujarat Titans,3,3,55,103,34.33333333,11.23636364,18.33333333,18.33333333,1
115,DJ Bravo,Chennai Super Kings/Mumbai Indians/Gujarat Lions,158,172,3120,4360,25.34883721,8.384615385,18.13953488,19.74683544,1.088607595
116,DJ Harris,Deccan Chargers,2,0,18,26,0,8.666666667,0,9,0
117,DJ Hooda,Lucknow Super Giants/Sunrisers Hyderabad/Rajasthan Royals/Punjab Kings,29,9,331,465,51.66666667,8.429003021,36.77777778,11.4137931,0.310344828
118,DJ Hussey,Kings XI Punjab/Kolkata Knight Riders/Chennai Super Kings,26,8,317,474,59.25,8.971608833,39.625,12.19230769,0.307692308
119,DJ Mitchell,Rajasthan Royals,2,0,12,27,0,13.5,0,6,0
120,DJ Muthuswami,Delhi Daredevils,6,4,84,101,25.25,7.214285714,21,14,0.666666667
121,DJ Thornely,Mumbai Indians,4,2,42,40,20,5.714285714,21,10.5,0.5
122,DJ Willey,Chennai Super Kings/Royal Challengers Bangalore,11,6,216,272,45.33333333,7.555555556,36,19.63636364,0.545454545
123,DJG Sammy,Sunrisers Hyderabad/Royal Challengers Bangalore,19,11,236,350,31.81818182,8.898305085,21.45454545,12.42105263,0.578947368
124,DJM Short,Rajasthan Royals,2,1,18,19,19,6.333333333,18,9,0.5
125,DL Chahar,Chennai Super Kings/Rising Pune Supergiants/Rising Pune Supergiant,72,70,1504,1978,28.25714286,7.890957447,21.48571429,20.88888889,0.972222222
126,DL Vettori,Delhi Daredevils/Royal Challengers Bangalore,34,28,777,879,31.39285714,6.787644788,27.75,22.85294118,0.823529412
127,DNT Zoysa,Deccan Chargers,3,1,66,99,99,9,66,22,0.333333333
128,DP Nannes,Delhi Daredevils/Chennai Super Kings/Royal Challengers Bangalore,29,27,646,785,29.07407407,7.291021672,23.92592593,22.27586207,0.931034483
129,DP Vijaykumar,Deccan Chargers,9,4,152,199,49.75,7.855263158,38,16.88888889,0.444444444
130,DR Sams,Mumbai Indians/Delhi Capitals/Royal Challengers Bangalore,16,14,360,523,37.35714286,8.716666667,25.71428571,22.5,0.875
131,DR Smith,Deccan Chargers/Gujarat Lions/Chennai Super Kings/Mumbai Indians,46,26,539,810,31.15384615,9.016697588,20.73076923,11.7173913,0.565217391
132,DS Kulkarni,Mumbai Indians/Rajasthan Royals/Gujarat Lions,91,81,1763,2438,30.09876543,8.297220647,21.7654321,19.37362637,0.89010989
133,DT Christian,Royal Challengers Bangalore/Deccan Chargers/Rising Pune Supergiant/Delhi Daredevils,49,36,883,1192,33.11111111,8.099660249,24.52777778,18.02040816,0.734693878
134,DW Steyn,Royal Challengers Bangalore/Deccan Chargers/Sunrisers Hyderabad/Gujarat Lions,94,94,2152,2471,26.28723404,6.889405204,22.89361702,22.89361702,1
135,F du Plessis,Chennai Super Kings,1,0,6,16,0,16,0,6,0
136,FA Allen,Mumbai Indians/Punjab Kings,4,2,90,136,68,9.066666667,45,22.5,0.5
137,FH Edwards,Deccan Chargers,6,5,140,154,30.8,6.6,28,23.33333333,0.833333333
138,FY Fazal,Rajasthan Royals,2,0,12,20,0,10,0,6,0
139,Fazalhaq Farooqi,Sunrisers Hyderabad,7,6,152,227,37.83333333,8.960526316,25.33333333,21.71428571,0.857142857
140,GB Hogg,Kolkata Knight Riders/Rajasthan Royals,21,23,458,570,24.7826087,7.467248908,19.91304348,21.80952381,1.095238095
141,GC Viljoen,Kings XI Punjab,6,7,138,222,31.71428571,9.652173913,19.71428571,23,1.166666667
142,GD McGrath,Delhi Daredevils,14,12,324,357,29.75,6.611111111,27,23.14285714,0.857142857
143,GD Phillips,Rajasthan Royals/Sunrisers Hyderabad,4,2,30,40,20,8,15,7.5,0.5
144,GH Vihari,Sunrisers Hyderabad/Delhi Capitals,5,0,36,42,0,7,0,7.2,0
145,GHS Garton,Royal Challengers Bangalore,5,3,90,135,45,9,30,18,0.6
146,GJ Maxwell,Kings XI Punjab/Delhi Daredevils/Royal Challengers Bangalore/Mumbai Indians,71,31,818,1135,36.61290323,8.325183374,26.38709677,11.52112676,0.436619718
147,GR Napier,Mumbai Indians,1,1,24,27,27,6.75,24,24,1
148,GS Sandhu,Delhi Daredevils,2,1,48,82,82,10.25,48,24,0.5
149,Gagandeep Singh,Kings XI Punjab,4,3,84,141,47,10.07142857,28,21,0.75
150,Gurkeerat Singh,Kings XI Punjab,6,5,78,97,19.4,7.461538462,15.6,13,0.833333333
151,Gurnoor Brar,Punjab Kings,1,0,18,42,0,14,0,18,0
152,H Sharma,Royal Challengers Bangalore,1,0,18,28,0,9.333333333,0,18,0
153,HF Gurney,Kolkata Knight Riders,8,7,162,238,34,8.814814815,23.14285714,20.25,0.875
154,HH Pandya,Mumbai Indians/Gujarat Titans,80,44,1190,1743,39.61363636,8.788235294,27.04545455,14.875,0.55
155,HR Shokeen,Mumbai Indians,13,5,204,314,62.8,9.235294118,40.8,15.69230769,0.384615385
156,HV Patel,Royal Challengers Bangalore/Delhi Daredevils/Delhi Capitals,87,105,1819,2606,24.81904762,8.595931831,17.32380952,20.90804598,1.206896552
157,Harbhajan Singh,Mumbai Indians/Chennai Super Kings/Kolkata Knight Riders,159,138,3392,4007,29.03623188,7.087853774,24.57971014,21.33333333,0.867924528
158,Harmeet Singh,Deccan Chargers/Kings XI Punjab/Rajasthan Royals,28,25,549,731,29.24,7.989071038,21.96,19.60714286,0.892857143
159,Harpreet Brar,Punjab Kings/Kings XI Punjab,26,18,451,592,32.88888889,7.875831486,25.05555556,17.34615385,0.692307692
160,Harshit Rana,Kolkata Knight Riders,8,6,132,198,33,9,22,16.5,0.75
161,I Malhotra,Deccan Chargers,1,0,6,23,0,23,0,6,0
162,I Sharma,Delhi Capitals/Rising Pune Supergiants/Kolkata Knight Riders/Sunrisers Hyderabad/Kings XI Punjab/Deccan Chargers,99,77,2099,2844,36.93506494,8.129585517,27.25974026,21.2020202,0.777777778
163,I Udana,Royal Challengers Bangalore,9,6,150,237,39.5,9.48,25,16.66666667,0.666666667
164,IC Pandey,Chennai Super Kings/Pune Warriors,24,18,462,591,32.83333333,7.675324675,25.66666667,19.25,0.75
165,IC Porel,Punjab Kings,1,1,24,39,39,9.75,24,24,1
166,IK Pathan,Kings XI Punjab/Delhi Daredevils/Rising Pune Supergiants/Sunrisers Hyderabad,98,76,1989,2562,33.71052632,7.728506787,26.17105263,20.29591837,0.775510204
167,IS Sodhi,Rajasthan Royals,8,9,181,202,22.44444444,6.696132597,20.11111111,22.625,1.125
168,Imran Tahir,Chennai Super Kings/Rising Pune Supergiant/Delhi Daredevils,59,77,1316,1703,22.11688312,7.76443769,17.09090909,22.30508475,1.305084746
169,Iqbal Abdulla,Kolkata Knight Riders/Royal Challengers Bangalore,47,38,908,1092,28.73684211,7.215859031,23.89473684,19.31914894,0.808510638
170,J Botha,Rajasthan Royals/Delhi Daredevils/Kolkata Knight Riders,34,23,694,800,34.7826087,6.916426513,30.17391304,20.41176471,0.676470588
171,J Little,Gujarat Titans,10,7,204,294,42,8.647058824,29.14285714,20.4,0.7
172,J Suchith,Mumbai Indians/Sunrisers Hyderabad/Delhi Capitals,20,18,396,581,32.27777778,8.803030303,22,19.8,0.9
173,J Syed Mohammad,Royal Challengers Bangalore,10,8,180,270,33.75,9,22.5,18,0.8
174,J Theron,Rajasthan Royals/Kings XI Punjab/Deccan Chargers,9,7,192,276,39.42857143,8.625,27.42857143,21.33333333,0.777777778
175,J Yadav,Mumbai Indians/Delhi Daredevils/Gujarat Titans,19,6,384,443,73.83333333,6.921875,64,20.21052632,0.315789474
176,JA Morkel,Chennai Super Kings/Royal Challengers Bangalore/Delhi Daredevils/Rising Pune Supergiants,86,81,1699,2336,28.83950617,8.249558564,20.97530864,19.75581395,0.941860465
177,JA Richardson,Punjab Kings,3,3,66,117,39,10.63636364,22,22,1
178,JC Archer,Rajasthan Royals/Mumbai Indians,40,45,945,1178,26.17777778,7.479365079,21,23.625,1.125
179,JD Ryder,Pune Warriors/Royal Challengers Bangalore,16,8,236,303,37.875,7.703389831,29.5,14.75,0.5
180,JD Unadkat,Mumbai Indians/Rajasthan Royals/Royal Challengers Bangalore/Kolkata Knight Riders/Rising Pune Supergiant/Delhi Daredevils/Lucknow Super Giants,90,80,1890,2813,35.1625,8.93015873,23.625,21,0.888888889
181,JDP Oram,Chennai Super Kings/Rajasthan Royals/Mumbai Indians,14,8,237,349,43.625,8.835443038,29.625,16.92857143,0.571428571
182,JDS Neesham,Delhi Daredevils/Kings XI Punjab/Mumbai Indians/Rajasthan Royals,13,8,216,334,41.75,9.277777778,27,16.61538462,0.615384615
183,JE Root,Rajasthan Royals,1,0,12,14,0,7,0,12,0
184,JE Taylor,Pune Warriors,5,6,117,157,26.16666667,8.051282051,19.5,23.4,1.2
185,JEC Franklin,Mumbai Indians,15,9,151,220,24.44444444,8.741721854,16.77777778,10.06666667,0.6
186,JH Kallis,Royal Challengers Bangalore/Kolkata Knight Riders,88,64,1736,2289,35.765625,7.911290323,27.125,19.72727273,0.727272727
187,JJ Bumrah,Mumbai Indians,116,134,2646,3250,24.25373134,7.369614512,19.74626866,22.81034483,1.155172414
188,JJ van der Wath,Royal Challengers Bangalore,3,3,72,129,43,10.75,24,24,1
189,JL Pattinson,Mumbai Indians,9,11,189,269,24.45454545,8.53968254,17.18181818,21,1.222222222
190,JM Kemp,Chennai Super Kings,4,3,43,53,17.66666667,7.395348837,14.33333333,10.75,0.75
191,JO Holder,Rajasthan Royals/Kolkata Knight Riders/Sunrisers Hyderabad/Lucknow Super Giants/Chennai Super Kings,46,53,995,1461,27.56603774,8.810050251,18.77358491,21.63043478,1.152173913
192,JP Behrendorff,Mumbai Indians,17,19,366,552,29.05263158,9.049180328,19.26315789,21.52941176,1.117647059
193,JP Duminy,Delhi Daredevils/Deccan Chargers/Mumbai Indians,49,21,678,834,39.71428571,7.380530973,32.28571429,13.83673469,0.428571429
194,JP Faulkner,Rajasthan Royals/Kings XI Punjab/Gujarat Lions,55,53,1143,1657,31.26415094,8.69816273,21.56603774,20.78181818,0.963636364
195,JPR Scantlebury-Searles,Kolkata Knight Riders,3,2,42,89,44.5,12.71428571,21,14,0.666666667
196,JR Hazlewood,Chennai Super Kings/Royal Challengers Bangalore,27,34,603,810,23.82352941,8.059701493,17.73529412,22.33333333,1.259259259
197,JR Hopes,Kings XI Punjab/Delhi Daredevils,20,13,360,548,42.15384615,9.133333333,27.69230769,18,0.65
198,JW Hastings,Kolkata Knight Riders/Chennai Super Kings,3,3,58,66,22,6.827586207,19.33333333,19.33333333,1
199,Jalaj S Saxena,Punjab Kings,1,0,18,27,0,9,0,18,0
200,Jaskaran Singh,Deccan Chargers,7,6,102,171,28.5,10.05882353,17,14.57142857,0.857142857
201,Joginder Sharma,Chennai Super Kings,15,12,256,419,34.91666667,9.8203125,21.33333333,17.06666667,0.8
202,K Goel,Kings XI Punjab,6,0,66,93,0,8.454545455,0,11,0
203,K Gowtham,Rajasthan Royals/Lucknow Super Giants/Kings XI Punjab,33,20,552,740,37,8.043478261,27.6,16.72727273,0.606060606
204,K Kartikeya,Mumbai Indians,12,10,234,329,32.9,8.435897436,23.4,19.5,0.833333333
205,K Khejroliya,Kolkata Knight Riders/Royal Challengers Bangalore,6,5,115,200,40,10.43478261,23,19.16666667,0.833333333
206,K Rabada,Delhi Capitals/Punjab Kings/Delhi Daredevils,66,99,1500,2106,21.27272727,8.424,15.15151515,22.72727273,1.5
207,K Santokie,Mumbai Indians,2,3,48,90,30,11.25,16,24,1.5
208,K Upadhyay,Pune Warriors,3,0,54,81,0,9,0,18,0
209,K Yadav,Rajasthan Royals,3,2,54,84,42,9.333333333,27,18,0.666666667
210,KA Jamieson,Royal Challengers Bangalore,9,9,168,269,29.88888889,9.607142857,18.66666667,18.66666667,1
211,KA Pollard,Mumbai Indians,105,63,1470,2141,33.98412698,8.73877551,23.33333333,14,0.6
212,KAJ Roach,Deccan Chargers,2,0,48,80,0,10,0,24,0
213,KC Cariappa,Kings XI Punjab/Kolkata Knight Riders,11,7,216,348,49.71428571,9.666666667,30.85714286,19.63636364,0.636363636
214,KH Pandya,Mumbai Indians/Lucknow Super Giants,101,61,1846,2280,37.37704918,7.410617551,30.26229508,18.27722772,0.603960396
215,KJ Abbott,Kings XI Punjab,5,2,96,177,88.5,11.0625,48,19.2,0.4
216,KK Ahmed,Delhi Capitals/Sunrisers Hyderabad,41,54,928,1318,24.40740741,8.521551724,17.18518519,22.63414634,1.317073171
217,KK Cooper,Rajasthan Royals,25,32,576,757,23.65625,7.885416667,18,23.04,1.28
218,KL Nagarkoti,Kolkata Knight Riders/Delhi Capitals,11,5,180,285,57,9.5,36,16.36363636,0.454545455
219,KM Asif,Rajasthan Royals/Chennai Super Kings,7,7,133,232,33.14285714,10.46616541,19,19,1
220,KMA Paul,Delhi Capitals,8,9,163,237,26.33333333,8.72392638,18.11111111,20.375,1.125
221,KMDN Kulasekara,Chennai Super Kings,5,4,102,120,30,7.058823529,25.5,20.4,0.8
222,KP Appanna,Royal Challengers Bangalore,13,9,216,286,31.77777778,7.944444444,24,16.61538462,0.692307692
223,KP Pietersen,Delhi Daredevils/Royal Challengers Bangalore,13,7,174,215,30.71428571,7.413793103,24.85714286,13.38461538,0.538461538
224,KR Mayers,Lucknow Super Giants,6,0,42,59,0,8.428571429,0,7,0
225,KR Sen,Rajasthan Royals,9,7,169,265,37.85714286,9.408284024,24.14285714,18.77777778,0.777777778
226,KS Williamson,Sunrisers Hyderabad,2,0,18,31,0,10.33333333,0,9,0
227,KV Sharma,Sunrisers Hyderabad/Mumbai Indians/Chennai Super Kings/Royal Challengers Bangalore,73,67,1351,1833,27.35820896,8.140636566,20.1641791,18.50684932,0.917808219
228,KW Richardson,Rajasthan Royals/Royal Challengers Bangalore/Pune Warriors,14,17,311,444,26.11764706,8.565916399,18.29411765,22.21428571,1.214285714
229,Kamran Khan,Rajasthan Royals/Pune Warriors,8,6,136,206,34.33333333,9.088235294,22.66666667,17,0.75
230,Karanveer Singh,Kings XI Punjab,9,12,204,321,26.75,9.441176471,17,22.66666667,1.333333333
231,Kartik Tyagi,Rajasthan Royals/Sunrisers Hyderabad,19,15,398,662,44.13333333,9.979899497,26.53333333,20.94736842,0.789473684
232,Kuldeep Yadav,Kolkata Knight Riders/Delhi Capitals,69,62,1446,1957,31.56451613,8.12033195,23.32258065,20.95652174,0.898550725
233,L Ablish,Kings XI Punjab,3,3,42,75,25,10.71428571,14,14,1
234,L Balaji,Chennai Super Kings/Kolkata Knight Riders/Kings XI Punjab,72,73,1488,1999,27.38356164,8.060483871,20.38356164,20.66666667,1.013888889
235,L Ngidi,Chennai Super Kings,14,24,324,448,18.66666667,8.296296296,13.5,23.14285714,1.714285714
236,LA Carseldine,Rajasthan Royals,1,1,6,6,6,6,6,6,1
237,LE Plunkett,Delhi Daredevils,7,4,150,225,56.25,9,37.5,21.42857143,0.571428571
238,LH Ferguson,Gujarat Titans/Kolkata Knight Riders/Rising Pune Supergiant,36,33,763,1118,33.87878788,8.791612058,23.12121212,21.19444444,0.916666667
239,LI Meriwala,Delhi Capitals,1,1,18,32,32,10.66666667,18,18,1
240,LJ Wright,Pune Warriors,6,2,71,124,62,10.47887324,35.5,11.83333333,0.333333333
241,LMP Simmons,Mumbai Indians,1,1,18,34,34,11.33333333,18,18,1
242,LPC Silva,Deccan Chargers,1,0,6,21,0,21,0,6,0
243,LR Shukla,Kolkata Knight Riders/Delhi Daredevils,27,14,314,447,31.92857143,8.541401274,22.42857143,11.62962963,0.518518519
244,LRPL Taylor,Rajasthan Royals/Royal Challengers Bangalore,2,0,12,24,0,12,0,6,0
245,LS Livingstone,Punjab Kings/Rajasthan Royals,18,6,186,309,51.5,9.967741935,31,10.33333333,0.333333333
246,Lalit Yadav,Delhi Capitals,17,9,270,369,41,8.2,30,15.88235294,0.529411765
247,M Ashwin,Rising Pune Supergiants/Mumbai Indians/Kings XI Punjab/Royal Challengers Bangalore/Punjab Kings/Rajasthan Royals,43,34,852,1134,33.35294118,7.985915493,25.05882353,19.81395349,0.790697674
248,M Jansen,Sunrisers Hyderabad/Mumbai Indians,18,19,390,587,30.89473684,9.030769231,20.52631579,21.66666667,1.055555556
249,M Kartik,Kolkata Knight Riders/Pune Warriors/Royal Challengers Bangalore/Kings XI Punjab,54,29,1125,1361,46.93103448,7.258666667,38.79310345,20.83333333,0.537037037
250,M Manhas,Pune Warriors,3,0,42,42,0,6,0,14,0
251,M Markande,Mumbai Indians/Sunrisers Hyderabad/Rajasthan Royals,30,28,588,810,28.92857143,8.265306122,21,19.6,0.933333333
252,M Morkel,Delhi Daredevils/Kolkata Knight Riders/Rajasthan Royals,68,75,1581,2017,26.89333333,7.654648956,21.08,23.25,1.102941176
253,M Muralitharan,Chennai Super Kings/Royal Challengers Bangalore/Kochi Tuskers Kerala,64,58,1476,1662,28.65517241,6.756097561,25.44827586,23.0625,0.90625
254,M Ntini,Chennai Super Kings,9,7,210,242,34.57142857,6.914285714,30,23.33333333,0.777777778
255,M Pathirana,Chennai Super Kings,13,19,299,401,21.10526316,8.046822742,15.73684211,23,1.461538462
256,M Prasidh Krishna,Rajasthan Royals/Kolkata Knight Riders,50,49,1121,1671,34.10204082,8.943800178,22.87755102,22.42,0.98
257,M Theekshana,Chennai Super Kings,21,21,480,616,29.33333333,7.7,22.85714286,22.85714286,1
258,M Vijay,Kings XI Punjab/Delhi Daredevils,4,0,36,49,0,8.166666667,0,9,0
