,Bowler,Bowler Team(s),Matches Bowled In,Total Wickets,Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
478,VR Iyer,Kolkata Knight Riders,8,3,75,115,38.33333333,9.2,25,9.375,0.375
479,VRV Singh,Kings XI Punjab,18,12,360,542,45.16666667,9.033333333,30,20,0.666666667
480,VS Malik,Kings XI Punjab/Rajasthan Royals,13,6,205,261,43.5,7.63902439,34.16666667,15.76923077,0.461538462
481,VS Yeligati,Mumbai Indians,2,0,30,59,0,11.8,0,15,0
482,VY Mahesh,Delhi Daredevils/Chennai Super Kings,17,21,339,499,23.76190476,8.831858407,16.14285714,19.94117647,1.235294118
483,Vijaykumar Vyshak,Royal Challengers Bangalore,7,9,144,253,28.11111111,10.54166667,16,20.57142857,1.285714286
484,Vivrant Sharma,Sunrisers Hyderabad,2,0,18,37,0,12.33333333,0,9,0
485,WA Mota,Kings XI Punjab,7,4,72,97,24.25,8.083333333,18,10.28571429,0.571428571
486,WD Parnell,Delhi Daredevils/Pune Warriors/Royal Challengers Bangalore,33,35,723,937,26.77142857,7.77593361,20.65714286,21.90909091,1.060606061
487,WPUJC Vaas,Deccan Chargers,13,18,282,355,19.72222222,7.553191489,15.66666667,21.69230769,1.384615385
488,Washington Sundar,Sunrisers Hyderabad/Royal Challengers Bangalore/Rising Pune Supergiant,55,34,1000,1240,36.47058824,7.44,29.41176471,18.18181818,0.618181818
489,Y Gnaneswara Rao,Kochi Tuskers Kerala,1,0,6,7,0,7,0,6,0
490,Y Nagar,Delhi Daredevils,8,3,66,125,41.66666667,11.36363636,22,8.25,0.375
491,Y Prithvi Raj,Kolkata Knight Riders,2,1,30,57,57,11.4,30,15,0.5
492,Y Venugopal Rao,Delhi Daredevils/Deccan Chargers/Sunrisers Hyderabad,20,6,216,337,56.16666667,9.361111111,36,10.8,0.3
493,YA Abdulla,Kings XI Punjab,11,15,209,307,20.46666667,8.813397129,13.93333333,19,1.363636364
494,YBK Jaiswal,Rajasthan Royals,1,0,1,6,0,36,0,1,0
495,YK Pathan,Rajasthan Royals/Kolkata Knight Riders/Sunrisers Hyderabad,81,40,1123,1388,34.7,7.415850401,28.075,13.86419753,0.49382716
496,YS Chahal,Rajasthan Royals/Royal Challengers Bangalore/Mumbai Indians,141,180,3129,3982,22.12222222,7.635666347,17.38333333,22.19148936,1.276595745
497,Yash Dayal,Gujarat Titans,14,13,276,461,35.46153846,10.02173913,21.23076923,19.71428571,0.928571429
498,Yash Thakur,Lucknow Super Giants,9,13,191,289,22.23076923,9.078534031,14.69230769,21.22222222,1.444444444
499,Yudhvir Singh,Lucknow Super Giants,3,3,48,70,23.33333333,8.75,16,16,1
500,Yuvraj Singh,Royal Challengers Bangalore/Delhi Daredevils/Pune Warriors/Kings XI Punjab/Sunrisers Hyderabad,71,33,851,1051,31.84848485,7.410105758,25.78787879,11.98591549,0.464788732
501,Z Khan,Royal Challengers Bangalore/Delhi Daredevils/Mumbai Indians,98,101,2199,2782,27.54455446,7.590723056,21.77227723,22.43877551,1.030612245
